# Feature / Sample	Validation|UMCGIBD00126	Validation|UMCGIBD00371	Validation|UMCGIBD00485	Validation|UMCGIBD00238	Validation|UMCGIBD00269	Validation|UMCGIBD00053	Validation|UMCGIBD00613	Validation|UMCGIBD00347	Validation|UMCGIBD00208	Validation|UMCGIBD00027	Validation|UMCGIBD00072	Validation|LLDeep_0010	Validation|LLDeep_0027
Bifidobacterium_adolescentis	0.194486	0.180533	0.167973	0.172811	0.201862	0.187881	0.156899	0.192988	0.163615	0.150556	0.155910	0.179031	0.133265
Bifidobacterium_animalis	0.012670	0.015218	0.019130	0.017571	0.013508	0.014703	0.015249	0.014602	0.014196	0.014929	0.015199	0.012934	0.016367
Bifidobacterium_bifidum	0.071851	0.083458	0.092157	0.087532	0.074706	0.076709	0.081750	0.078589	0.087158	0.080772	0.077605	0.084327	0.079546
Bifidobacterium_catenulatum	0.024127	0.024979	0.038681	0.026772	0.020865	0.022122	0.021356	0.023219	0.021213	0.021799	0.022729	0.023740	0.025637
Bifidobacterium_dentium	0.013252	0.010488	0.014579	0.010995	0.010608	0.010432	0.009703	0.010058	0.009891	0.010024	0.009867	0.011422	0.010475
Bifidobacterium_longum	0.191215	0.152632	0.161122	0.138241	0.146151	0.135095	0.129868	0.129135	0.127177	0.127699	0.129076	0.162750	0.139068
Bifidobacterium_pseudocatenulatum	0.018106	0.010996	0.018959	0.012734	0.011242	0.011925	0.010020	0.011323	0.011405	0.012292	0.011323	0.012999	0.012298
Adlercreutzia_equolifaciens	0.016123	0.013895	0.018013	0.012837	0.012088	0.011315	0.010721	0.011805	0.010435	0.010718	0.010720	0.014072	0.012421
Collinsella_aerofaciens	0.104631	0.145925	0.143362	0.137821	0.125038	0.120476	0.126379	0.128751	0.128293	0.112418	0.115614	0.128962	0.115258
Eggerthella_lenta	0.020193	0.017656	0.020841	0.018550	0.018578	0.018388	0.018224	0.017285	0.016790	0.019476	0.017905	0.017279	0.018143
Eggerthella_unclassified	0.016254	0.018093	0.023380	0.020447	0.016769	0.018203	0.019338	0.018009	0.017347	0.019814	0.019164	0.016785	0.021258
Gordonibacter_pamelaeae	0.010848	0.010458	0.013289	0.011153	0.010053	0.010524	0.012063	0.010606	0.010624	0.012012	0.011094	0.010632	0.013277
Slackia_piriformis	0.012147	0.011925	0.018004	0.013096	0.010818	0.011579	0.010645	0.011369	0.010910	0.011749	0.011484	0.011601	0.012176
Bacteroides_caccae	0.014000	0.015062	0.017909	0.016619	0.014199	0.014289	0.012833	0.014245	0.014777	0.012826	0.013291	0.013979	0.013401
Bacteroides_cellulosilyticus	0.007776	0.010557	0.011817	0.010679	0.008201	0.008532	0.009495	0.008185	0.009630	0.009334	0.009012	0.008822	0.009688
Bacteroides_dorei	0.025786	0.024069	0.031344	0.025918	0.022806	0.022825	0.022283	0.021153	0.019735	0.023712	0.024677	0.022658	0.029625
Bacteroides_eggerthii	0.036566	0.033399	0.040107	0.032306	0.032764	0.034919	0.032226	0.032048	0.027661	0.037014	0.034567	0.031581	0.037881
Bacteroides_faecis	0.019854	0.021971	0.028511	0.022909	0.017072	0.019510	0.020082	0.018385	0.018177	0.020904	0.021140	0.017811	0.024155
Bacteroides_fragilis	0.015355	0.010770	0.015657	0.012521	0.011368	0.011517	0.010402	0.010615	0.010780	0.011174	0.011123	0.011340	0.011952
Bacteroides_massiliensis	0.010742	0.011384	0.014160	0.011801	0.010097	0.010289	0.009620	0.010023	0.009892	0.009815	0.009816	0.010262	0.010770
Bacteroides_ovatus	0.008351	0.008546	0.011756	0.009428	0.007676	0.008124	0.007885	0.007577	0.008246	0.008313	0.008420	0.008005	0.009387
Bacteroides_stercoris	0.024533	0.025908	0.029517	0.024690	0.022455	0.021410	0.019999	0.023073	0.021158	0.020478	0.020822	0.024538	0.021730
Bacteroides_thetaiotaomicron	0.016859	0.022622	0.027460	0.025291	0.018806	0.020984	0.024426	0.021110	0.022290	0.025203	0.023764	0.019182	0.026729
Bacteroides_uniformis	0.038713	0.033172	0.043819	0.037261	0.034590	0.036747	0.033045	0.034674	0.028774	0.036213	0.036841	0.031032	0.038899
Bacteroides_vulgatus	0.044894	0.045756	0.056237	0.042432	0.037175	0.035168	0.036575	0.036065	0.040101	0.038319	0.036414	0.044492	0.043026
Bacteroides_xylanisolvens	0.009067	0.008334	0.010334	0.008670	0.008142	0.008000	0.007734	0.007656	0.007131	0.007675	0.007599	0.008331	0.008349
Bacteroidales_bacterium_ph8	0.022962	0.024121	0.028057	0.025165	0.022289	0.022178	0.022130	0.021949	0.022100	0.023597	0.022201	0.021683	0.023247
Barnesiella_intestinihominis	0.023932	0.032658	0.031301	0.029551	0.027601	0.026616	0.028523	0.025898	0.027980	0.028584	0.027163	0.026114	0.027416
Odoribacter_splanchnicus	0.013532	0.012339	0.017271	0.012618	0.011654	0.011816	0.011563	0.011268	0.010117	0.011942	0.012486	0.011768	0.014362
Parabacteroides_distasonis	0.019146	0.018864	0.024122	0.019312	0.017915	0.018621	0.017829	0.017058	0.017209	0.019728	0.019013	0.017852	0.020090
Parabacteroides_merdae	0.026812	0.029392	0.039167	0.032759	0.027167	0.030593	0.032488	0.030217	0.028115	0.033545	0.032057	0.026423	0.032739
Parabacteroides_unclassified	0.012143	0.015329	0.019227	0.015020	0.012488	0.012563	0.012758	0.012860	0.012628	0.013102	0.013486	0.013742	0.015308
Paraprevotella_clara	0.013421	0.016602	0.018773	0.016930	0.013040	0.014183	0.013699	0.014167	0.013654	0.013420	0.014412	0.012637	0.014850
Paraprevotella_unclassified	0.028177	0.026896	0.033412	0.025881	0.024122	0.024108	0.026902	0.025385	0.025110	0.027383	0.023646	0.028340	0.027140
Prevotella_copri	0.027931	0.028268	0.038522	0.027149	0.021881	0.023134	0.023469	0.023190	0.025166	0.024189	0.024521	0.028279	0.029883
Alistipes_finegoldii	0.014485	0.018365	0.023383	0.018171	0.015859	0.016467	0.017903	0.016365	0.017516	0.017258	0.017065	0.017001	0.017748
Alistipes_indistinctus	0.009811	0.010920	0.014457	0.010513	0.008814	0.008465	0.009002	0.009026	0.009571	0.008935	0.009053	0.010561	0.011045
Alistipes_onderdonkii	0.026393	0.026187	0.029856	0.027028	0.024004	0.024250	0.025976	0.022889	0.026256	0.026200	0.024459	0.025073	0.025003
