# Feature / Sample	Validation|UMCGIBD00126	Validation|UMCGIBD00371	Validation|UMCGIBD00485	Validation|UMCGIBD00238	Validation|UMCGIBD00269	Validation|UMCGIBD00053	Validation|UMCGIBD00613	Validation|UMCGIBD00347	Validation|UMCGIBD00208	Validation|UMCGIBD00027	Validation|UMCGIBD00072	Validation|LLDeep_0010	Validation|LLDeep_0027
Methanosphaera_stadtmanae	0.037990	0.031983	0.038059	0.037716	0.036449	0.037040	0.035144	0.036302	0.041067	0.048564	0.036694	0.033984	0.039251
Rothia_mucilaginosa	0.059417	0.049058	0.049027	0.051357	0.065278	0.053855	0.050707	0.050320	0.054999	0.054018	0.053768	0.051689	0.051097
Propionibacterium_freudenreichii	0.047631	0.045836	0.047452	0.051517	0.053851	0.055236	0.056637	0.051551	0.057011	0.060390	0.054329	0.050815	0.056369
Bifidobacterium_adolescentis	0.137787	0.125204	0.170269	0.163105	0.177895	0.181621	0.165183	0.182438	0.155597	0.163439	0.194134	0.128469	0.147567
Bifidobacterium_animalis	0.018438	0.015686	0.020095	0.019664	0.020947	0.020741	0.019771	0.019174	0.021575	0.024304	0.021211	0.017453	0.022427
Bifidobacterium_bifidum	0.091658	0.063202	0.075352	0.072520	0.096937	0.080375	0.077307	0.077249	0.079666	0.074309	0.087412	0.073183	0.079327
Bifidobacterium_breve	0.035388	0.032227	0.041259	0.040614	0.035998	0.040105	0.039379	0.038945	0.039029	0.047000	0.042455	0.037628	0.047081
Bifidobacterium_catenulatum	0.021985	0.021642	0.026609	0.026735	0.023431	0.024490	0.024302	0.025112	0.028786	0.034690	0.024725	0.023900	0.027528
Bifidobacterium_dentium	0.017147	0.014181	0.016567	0.017009	0.018494	0.016805	0.016525	0.016050	0.019063	0.021650	0.017133	0.016328	0.018766
Bifidobacterium_longum	0.116556	0.072933	0.078267	0.076965	0.095403	0.076622	0.068081	0.072716	0.080711	0.081801	0.078904	0.080063	0.075638
Bifidobacterium_pseudocatenulatum	0.024720	0.017981	0.024829	0.023508	0.023968	0.023319	0.020151	0.021727	0.024617	0.026845	0.024185	0.021620	0.024254
