# Feature / Sample	PRISM|7860	PRISM|8573	PRISM|9079	PRISM|8758	PRISM|7855	PRISM|7408	PRISM|7947	PRISM|8735	PRISM|8264	PRISM|8784	PRISM|8565	PRISM|8537	PRISM|8849	PRISM|8226	PRISM|8754	PRISM|7911	PRISM|7897	PRISM|9126	PRISM|8464	PRISM|8803	PRISM|8629	PRISM|7421	PRISM|8878	PRISM|8998	PRISM|7908	PRISM|8692	PRISM|8894	PRISM|8361	PRISM|8605	PRISM|8746	PRISM|7744
Methanosphaera_stadtmanae	0.000219	0.000206	0.00018	0.000764	0.000214	0.000358	0.000523	0.000264	0.000792	0.000205	0.000454	0.000478	0.000549	0.000509	0.000197	0.000214	0.00038	0.000205	0.000598	0.000187	0.000485	0.000174	0.000212	0.000201	0.000171	0.000181	0.000196	0.000178	0.000189	0.000381	0.000188
Rothia_mucilaginosa	4.5e-05	4.4e-05	3.7e-05	0.000336	4.8e-05	0.000102	0.000181	6.1e-05	0.000308	4.4e-05	0.000134	0.000158	0.000172	0.000177	4.1e-05	4.7e-05	0.000114	4.4e-05	0.000229	3.9e-05	0.000163	3.5e-05	4.5e-05	4.2e-05	3.4e-05	3.7e-05	4.1e-05	3.6e-05	3.9e-05	0.000103	3.9e-05
Propionibacterium_freudenreichii	3.2e-05	2.9e-05	2.6e-05	0.000119	3.1e-05	5.3e-05	7.9e-05	3.7e-05	0.000115	2.9e-05	6.5e-05	6.7e-05	7.9e-05	7.5e-05	2.9e-05	3e-05	5.6e-05	2.9e-05	8.5e-05	2.7e-05	7.4e-05	2.6e-05	3.1e-05	2.9e-05	2.5e-05	2.7e-05	2.8e-05	2.6e-05	2.7e-05	5.7e-05	2.7e-05
Bifidobacterium_adolescentis	0.024351	0.023042	0.022208	0.062143	0.025386	0.042011	0.058591	0.029824	0.057556	0.022746	0.044559	0.052365	0.054012	0.050888	0.022725	0.024073	0.042697	0.023976	0.058565	0.022298	0.048081	0.021962	0.024334	0.024532	0.021504	0.022452	0.023173	0.021949	0.022029	0.042141	0.022084
Bifidobacterium_animalis	0.001079	0.001091	0.00099	0.001876	0.001046	0.001221	0.001453	0.00119	0.001777	0.001103	0.001453	0.001363	0.001348	0.001423	0.001049	0.001082	0.001205	0.001051	0.001561	0.001036	0.001495	0.000967	0.001062	0.001023	0.000953	0.000997	0.001031	0.000975	0.00101	0.001205	0.001048
Bifidobacterium_bifidum	0.006231	0.006152	0.005897	0.010478	0.006079	0.007006	0.00835	0.006983	0.00993	0.006046	0.008267	0.007507	0.00807	0.007668	0.006082	0.006195	0.006612	0.006019	0.009438	0.005977	0.008537	0.005829	0.006186	0.006137	0.00578	0.005901	0.006106	0.0059	0.00599	0.006745	0.006011
Bifidobacterium_breve	0.001107	0.001014	0.000957	0.004612	0.001122	0.001849	0.002465	0.001251	0.004413	0.001024	0.00234	0.00257	0.002801	0.003059	0.000984	0.001082	0.002069	0.001024	0.002866	0.000964	0.002488	0.000935	0.00107	0.001061	0.000927	0.000957	0.001009	0.000935	0.00096	0.00192	0.000973
Bifidobacterium_catenulatum	6.3e-05	6e-05	5.7e-05	0.000141	6.3e-05	8.9e-05	0.000114	6.6e-05	0.00016	6.2e-05	0.000103	0.000105	0.000109	0.000111	5.8e-05	6.2e-05	9.3e-05	6.2e-05	0.000114	5.9e-05	0.000103	5.6e-05	6.3e-05	6.1e-05	5.5e-05	5.8e-05	5.9e-05	5.6e-05	5.8e-05	8.9e-05	5.8e-05
Bifidobacterium_dentium	0.001238	0.001145	0.001016	0.006291	0.001283	0.002665	0.004409	0.001686	0.005716	0.001112	0.0032	0.004085	0.004117	0.004479	0.001076	0.001177	0.002845	0.001174	0.005201	0.001012	0.00373	0.000972	0.001204	0.001206	0.000967	0.001016	0.001101	0.000988	0.001039	0.002971	0.001052
Bifidobacterium_longum	0.026743	0.026763	0.026462	0.033739	0.027372	0.032104	0.03215	0.029631	0.034083	0.027237	0.030702	0.030854	0.032242	0.032015	0.02648	0.02697	0.030466	0.026531	0.029635	0.026411	0.032188	0.025854	0.027412	0.027221	0.025849	0.026699	0.026786	0.026045	0.026272	0.030127	0.026242
Bifidobacterium_pseudocatenulatum	0.002446	0.002492	0.002308	0.003898	0.002322	0.002485	0.002619	0.002482	0.003872	0.002494	0.002934	0.002857	0.002784	0.002925	0.002431	0.002549	0.002629	0.00242	0.003267	0.002335	0.003044	0.002229	0.002413	0.002252	0.002246	0.002246	0.002377	0.002259	0.002387	0.002536	0.002395
Adlercreutzia_equolifaciens	0.002243	0.00227	0.002249	0.003049	0.002291	0.002239	0.002285	0.002301	0.002856	0.002265	0.00239	0.002445	0.002382	0.002507	0.002231	0.002332	0.002227	0.00226	0.002467	0.002278	0.002454	0.002204	0.002292	0.00226	0.002162	0.002209	0.002283	0.00223	0.002257	0.002274	0.00228
Collinsella_aerofaciens	0.016531	0.016392	0.015572	0.025058	0.016384	0.020096	0.023442	0.018515	0.024466	0.016341	0.02108	0.021055	0.022271	0.02241	0.016039	0.016462	0.019354	0.016018	0.022233	0.015568	0.022755	0.015139	0.01653	0.016624	0.015083	0.015612	0.016112	0.015371	0.015616	0.020223	0.015739
Collinsella_intestinalis	0.000768	0.000731	0.00068	0.002055	0.000756	0.001128	0.001506	0.000864	0.002381	0.000725	0.001319	0.001245	0.001602	0.001676	0.000713	0.000752	0.001176	0.000714	0.001442	0.00068	0.001402	0.000655	0.000781	0.00076	0.000649	0.000682	0.000732	0.000669	0.000687	0.001241	0.000691
Collinsella_unclassified	7e-05	6.7e-05	6.2e-05	0.000166	6.7e-05	9e-05	9.6e-05	7.6e-05	0.000175	6.8e-05	0.000105	0.000107	0.000111	0.00012	6.6e-05	7e-05	8.9e-05	6.6e-05	0.000127	6.3e-05	0.000109	6.1e-05	6.8e-05	6.7e-05	6.1e-05	6.4e-05	6.4e-05	6.1e-05	6.2e-05	8.4e-05	6.4e-05
