clade_name	DRR127476	DRR127478	DRR127481	DRR127485	DRR127488	DRR127491	DRR127507	DRR127509	DRR127514	DRR127515	DRR127517	DRR127519	DRR127521	DRR127524	DRR127532	DRR127535	DRR127536	DRR127537	DRR127546	DRR127552	DRR127557	DRR127559	DRR127567	DRR127579	DRR127580	DRR127583	DRR127588	DRR127594	DRR127596	DRR127597	DRR127603	DRR127613	DRR127616	DRR127617	DRR127619	DRR127625	DRR127628	DRR127634	DRR127638	DRR127646	DRR127647	DRR127649	DRR127666	DRR127669	DRR127672	DRR127674	DRR127683	DRR127685	DRR127692	DRR127700	DRR127704	DRR127707	DRR127708	DRR127713	DRR127718	DRR127720	DRR127721	DRR127724	DRR127728	DRR127731	DRR127736	DRR127737	DRR127748	DRR127751	DRR127752	DRR127754	DRR127755	DRR127756	DRR127762	DRR127763	DRR127767	DRR127774	DRR127776	DRR127777	DRR127789	DRR162775	DRR162776	DRR162777	DRR162778	DRR162779
k__Archaea	0.0001683	0.0	0.0	0.0108522	0.0	0.0	0.0	0.0017218	0.0	0.0339786	0.0	0.0	0.0	0.0001802	0.000544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013799	0.0004288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019163	0.0	0.0	0.0	0.0019157	0.0
k__Archaea|p__Euryarchaeota	0.0001683	0.0	0.0	0.0108522	0.0	0.0	0.0	0.0017218	0.0	0.0339786	0.0	0.0	0.0	0.0001802	0.000544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013799	0.0004288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019163	0.0	0.0	0.0	0.0019157	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0001683	0.0	0.0	0.0108522	0.0	0.0	0.0	0.0017218	0.0	0.0339786	0.0	0.0	0.0	0.0001802	0.000544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013799	0.0004288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019163	0.0	0.0	0.0	0.0019157	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0001683	0.0	0.0	0.0108522	0.0	0.0	0.0	0.0017218	0.0	0.0339786	0.0	0.0	0.0	0.0001802	0.000544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013799	0.0004288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019163	0.0	0.0	0.0	0.0019157	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0001683	0.0	0.0	0.0108522	0.0	0.0	0.0	0.0017218	0.0	0.0339786	0.0	0.0	0.0	0.0001802	0.000544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013799	0.0004288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019163	0.0	0.0	0.0	0.0019157	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.0001683	0.0	0.0	0.0108522	0.0	0.0	0.0	0.0014573	0.0	0.0339786	0.0	0.0	0.0	0.0001802	0.0003952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013799	0.0004288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019163	0.0	0.0	0.0	0.001834	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.0001683	0.0	0.0	0.0108522	0.0	0.0	0.0	0.0014573	0.0	0.0339786	0.0	0.0	0.0	0.0001802	0.0003952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013799	0.0004288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019163	0.0	0.0	0.0	0.001834	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002645	0.0	0.0	0.0	0.0	0.0	0.0	0.0001488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16e-05	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002645	0.0	0.0	0.0	0.0	0.0	0.0	0.0001488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.16e-05	0.0
k__Bacteria	0.9998317	1.0	1.0	0.9891478	1.0	1.0	1.0	0.9982782	1.0	0.9660214	1.0	1.0	1.0	0.9998198	0.999357	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9986201	0.9995712	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9980491	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9930699	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.980837	1.0	1.0	1.0	0.9980843	1.0
