clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Archaea	0.027519	0.028944	0.029183	0.023300	0.029489	0.026063	0.025307	0.027157	0.025404	0.025323	0.035926	0.025305	0.028936	0.026394	0.030083	0.030037
k__Archaea|p__Euryarchaeota	0.027422	0.030857	0.031602	0.024523	0.029672	0.027070	0.026048	0.027974	0.026576	0.024990	0.035222	0.024654	0.028284	0.027742	0.031856	0.029780
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.026155	0.025880	0.027913	0.021621	0.029027	0.024113	0.022751	0.024803	0.023900	0.024144	0.032103	0.024875	0.028651	0.024516	0.029662	0.026576
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.032936	0.038193	0.040510	0.029320	0.035206	0.033982	0.030889	0.034518	0.032643	0.030584	0.037498	0.030021	0.035527	0.035143	0.036791	0.033358
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.023826	0.024567	0.026388	0.019320	0.025533	0.022358	0.021446	0.022865	0.021606	0.022366	0.028096	0.021996	0.026557	0.023191	0.026503	0.023873
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.028860	0.029136	0.030488	0.023661	0.029429	0.026282	0.025508	0.026980	0.025724	0.025631	0.035405	0.022847	0.029752	0.026190	0.031439	0.029750
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.022315	0.024622	0.025209	0.019654	0.024177	0.021864	0.021220	0.022332	0.021424	0.021196	0.027267	0.021394	0.024425	0.023218	0.025522	0.023578
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0.037391	0.040153	0.043169	0.032937	0.039442	0.038199	0.035009	0.036580	0.035296	0.035461	0.041009	0.033567	0.041642	0.038178	0.041600	0.038748
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0.031431	0.034303	0.035837	0.027588	0.036105	0.032158	0.030804	0.032009	0.031024	0.028793	0.040627	0.031312	0.033449	0.032240	0.036377	0.034113
k__Bacteria	1.029567	1.012312	1.033322	1.039986	1.035586	1.035678	1.042691	1.017553	1.020463	1.039191	1.014041	1.035068	1.044173	1.034567	1.036711	1.026446
k__Bacteria|p__Actinobacteria	0.144091	0.201191	0.207933	0.185862	0.167012	0.177353	0.190220	0.182000	0.188407	0.165612	0.159116	0.310576	0.157674	0.261402	0.189489	0.178136
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.124496	0.157940	0.181111	0.147357	0.145350	0.149124	0.160604	0.147970	0.148826	0.139635	0.133266	0.260524	0.142057	0.217074	0.162328	0.142363
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.035652	0.033961	0.037291	0.028622	0.036692	0.031950	0.029717	0.031967	0.030618	0.033096	0.039190	0.029978	0.037725	0.030793	0.038719	0.035298
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.032461	0.040678	0.039312	0.027326	0.035379	0.031920	0.029194	0.037190	0.036462	0.029667	0.037266	0.034224	0.034989	0.034393	0.038154	0.032606
