clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Actinobacteriota	0.346497	0.470162	0.199187	0.193179	0.472482	0.263313	0.248761	0.340160	0.408984	0.340033	0.398499	0.369388	0.248761	0.472482	0.397707	0.350021	0.296995	0.364530	0.378506	0.272356	0.449556	0.426707	0.371249	0.444216	0.470162	0.580880	0.362319
k__Bacteria|p__Bacteroidota	0.155492	0.222690	0.079417	0.110242	0.135772	0.070142	0.151908	0.293260	0.198472	0.304568	0.224687	0.149270	0.151908	0.135772	0.133153	0.217188	0.385847	0.273518	0.235079	0.079149	0.093426	0.213050	0.241664	0.156135	0.222690	0.070663	0.175193
k__Bacteria|p__Firmicutes	0.538095	0.589309	0.858999	0.345329	0.469963	0.655504	0.815730	0.620855	0.590259	0.658127	0.557212	0.723211	0.815730	0.469963	0.653079	0.598135	0.526029	0.563737	0.422473	0.883311	0.539615	0.481609	0.635044	0.554077	0.589309	0.448641	0.504791
k__Bacteria|p__Proteobacteria	0.085864	0.055822	0.034223	0.753451	0.036205	0.144109	0.021160	0.039796	0.108311	0.038339	0.031175	0.023030	0.021160	0.036205	0.034842	0.073690	0.021667	0.043397	0.038084	0.049016	0.052734	0.039647	0.034671	0.032956	0.055822	0.039230	0.038322
k__Bacteria|p__Actinobacteriota|c__Actinobacteria	0.302793	0.365585	0.146520	0.197935	0.445396	0.221679	0.305896	0.328355	0.424295	0.292946	0.361658	0.407922	0.305896	0.445396	0.434170	0.281241	0.258130	0.340805	0.327687	0.317517	0.413645	0.376404	0.374718	0.425589	0.365585	0.568273	0.307285
k__Bacteria|p__Firmicutes|c__Bacilli	0.296124	0.397011	0.959890	0.264089	0.257296	0.650988	0.332197	0.219435	0.295170	0.214572	0.277445	0.178755	0.332197	0.257296	0.261548	0.772780	0.227040	0.188730	0.372599	0.263307	0.515594	0.412071	0.224103	0.287608	0.397011	0.226588	0.483008
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.191591	0.265546	0.091071	0.104761	0.168739	0.076191	0.139395	0.338464	0.234980	0.310723	0.230860	0.139577	0.139395	0.168739	0.138681	0.265399	0.416325	0.291718	0.276120	0.081458	0.110749	0.264109	0.252979	0.188847	0.265546	0.094446	0.220686
k__Bacteria|p__Firmicutes|c__Clostridia	0.338809	0.405017	0.178490	0.210830	0.246088	0.242428	0.558312	0.604932	0.624919	0.667269	0.324232	0.720648	0.558312	0.246088	0.544327	0.204645	0.377652	0.699845	0.160244	0.777797	0.183850	0.190192	0.627744	0.311978	0.405017	0.308892	0.151073
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia	0.005729	0.013343	0.002414	0.011821	0.003761	0.006134	0.012612	0.021996	0.019797	0.033480	0.006324	0.016588	0.012612	0.003761	0.008128	0.007151	0.013328	0.050018	0.004803	0.030925	0.005509	0.005291	0.030411	0.006412	0.013343	0.005367	0.003922
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.061706	0.040677	0.025248	0.568717	0.021606	0.107672	0.018114	0.027271	0.103866	0.040664	0.018953	0.019852	0.018114	0.021606	0.024371	0.067055	0.017650	0.042592	0.028443	0.043296	0.040200	0.029360	0.030952	0.021561	0.040677	0.026304	0.037404
