clade_name	DRR111002	DRR111003	DRR111004	DRR111005	DRR111006	DRR111007	DRR111008	DRR111009	DRR111010	DRR111011	DRR111012	DRR111013	DRR111014	DRR111015	DRR111016	DRR111017	DRR111018	DRR111019	DRR111020	DRR111021	DRR111022	DRR111023	DRR111024	DRR111025	DRR111026	DRR111027	DRR111028	DRR111029	DRR111030	DRR111031	DRR111032	DRR111033	DRR111034	DRR111035	DRR111036	DRR111037	DRR111038	DRR111039	DRR111040	DRR111041	DRR111042	DRR111043	DRR111044	DRR111045	DRR111046	DRR111047	DRR111048	DRR111049	DRR111050	DRR111051	DRR111052	DRR111053	DRR111054	DRR111055	DRR111056	DRR111057	DRR111058	DRR111059	DRR111060	DRR111061
k__Archaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00028924491009304045	0.0	0.0	0.0	0.0	6.853070175438596e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	1.0	0.9999715735463423	1.0	1.0	1.0	0.9999557100781717	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999636977474452	0.9999361593462717	1.0	1.0	0.9999505407544184	0.9997107550899069	0.9999343627442937	0.9999803011947326	1.0	1.0	0.9999314692982456	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999608311627269	0.9999538862373475	1.0	1.0	0.9999713467048711	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999601331552614	0.9999426122886219	1.0	1.0	1.0	1.0	1.0	1.0
k__Eukaryota	0.0	2.8426453657773926e-05	0.0	0.0	0.0	4.4289921828287974e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.630225255477102e-05	6.384065372829418e-05	0.0	0.0	4.9459245581640725e-05	0.0	6.563725570633892e-05	1.969880526746053e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.916883727306555e-05	4.6113762652463626e-05	0.0	0.0	2.865329512893983e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9866844738573166e-05	5.7387711378070245e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteriota	0.0032672509146600866	0.001094418465824296	0.0012028725314183124	0.009311133906730846	0.04963028767015912	0.009854507606794074	0.010868637437050103	0.0066585605929013955	0.03719836558476602	0.0387858347386172	0.023067762753534112	0.019303639093443913	0.011366581509867081	0.006838344011828487	0.004968791064388962	0.02090359188480274	0.060769970776686694	0.07639172625127681	0.016293511080726943	0.013091887923651046	0.4515299393299921	0.055936751779659656	0.06082932672584959	0.19801239054851325	0.004310099303168967	0.02179266895761741	0.05780564692982456	0.012894534257120862	0.09282660332541567	0.04183038891123418	0.017631129687408018	0.006275729049716441	0.0050875607038493075	0.008493655341792878	0.001063590435867542	0.03824836959714851	0.2553780175693436	0.014881879662042043	0.03852197514404076	0.013037249283667621	0.04709787852067016	0.008963294936849513	0.03837547017092796	0.007098621888233422	0.045260658527872914	0.0034863928139291646	0.022111769578793093	0.027395345586693688	0.06679197766301075	0.03943189309042967	0.02282307856078348	0.06847606044913139	0.01792014670998864	0.01132450837860586	0.005438125141617842	0.002557723976034477	0.003946040194548958	0.2954577218728162	0.0238043504502547	0.015675954001945193
k__Bacteria|p__Bacteroidota	0.4957542755041266	0.5630711940531858	0.47745062836624774	0.3066756095636392	0.5169571238209704	0.41395575436809356	0.5939055964947222	0.600689016270048	0.36462107778891373	0.5227655986509275	0.44746850030731405	0.4614999642525202	0.5413380724943537	0.6488109906357812	0.452734888304862	0.5590171832343023	0.2612310093841323	0.31317671092951993	0.5708283484304677	0.06848770341367919	0.12284027960960169	0.30600504571676496	0.15995799215634796	0.27600981000502317	0.23661875557749634	0.547938144329897	0.2480126096491228	0.5799332820118039	0.18926365795724465	0.36604684261006776	0.29834579384235005	0.5258226098972277	0.50329009607501	0.3303827261563651	0.19672332331103884	0.4706331642545191	0.19356251873371608	0.5506295474955556	0.5340459978096281	0.346647564469914	0.3152134446807407	0.44853513093077524	0.3004650129346601	0.4553153991138962	0.3543106889958185	0.5750702405611041	0.3757089148027783	0.19990914808861557	0.11486030257130865	0.16288128483250436	0.4964729259811227	0.09931265006355633	0.3414595251858792	0.40643890121661946	0.3529925873175153	0.41880102308959044	0.43229023278578205	0.008525506638714186	0.5923565341252022	0.43866926025516334
k__Bacteria|p__Campilobacterota	0.0	0.0	0.0	0.0006707172729424762	0.0	0.0	8.535579139044584e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.660878447395301e-05	0.0	0.0	0.0	0.0	0.0	7.879522106984211e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018920680303571803	0.0	0.0	0.0	0.0	3.665487601488188e-05	0.0	0.0	0.0	0.0	0.0	0.00012239003255574865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017940080132357924	7.651694850409365e-05	0.0	0.0003503731474019831	6.117891774494509e-05	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.630225255477102e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008981267641775725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.407681765991333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019270523107109072	0.0	0.0	0.0	0.0
k__Bacteria|p__Desulfobacterota	0.004373351484727304	0.017908665804397574	0.0006642728904847397	0.000986348930797759	0.002521359705275259	0.0	0.0024468660198594477	0.01366452434717156	0.0	0.00010539629005059021	0.005531653349723417	0.006291556445270609	0.0005183457366063164	0.0001540167570231641	0.0015604467805519053	0.0024891601092018626	0.0019966238905124063	0.0	0.0035179171651569534	0.0004894163709776092	0.001154049063571617	0.017965322749112177	0.0010173774634482532	0.0007485546001635001	0.0014810032847893367	0.005297823596792669	0.003426535087719298	0.005452912496792405	0.0	0.005166919340366944	0.0028845587802437157	0.0038863459711546765	0.0	0.0019443307408923455	0.0018817369249964206	0.0013317404672842288	0.0006917064397869544	0.00527830214614299	0.004428360554259321	0.001833810888252149	0.00012102979061846223	0.0	0.0006665714421749273	0.0001468680390668984	0.003950326742451304	0.0010459178441787494	0.0019116803670426305	0.00010482912852051157	0.0004562293556216581	0.0	0.004101909019941807	0.0007767995857068876	0.0012358721868957682	0.003232841074297957	6.473958501926002e-05	0.010265933218878105	0.0041295769477837935	0.0	0.004731899278143937	0.002317066193718176
k__Archaea|p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00028924491009304045	0.0	0.0	0.0	0.0	6.853070175438596e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	0.45363736918233644	0.33715195360802763	0.5013105924596051	0.6661011599463427	0.4126538290701016	0.44834687866775913	0.37033032691268103	0.30452782120317295	0.5891604348161282	0.4169055649241147	0.4820029194837124	0.49967827268177595	0.40949313191898995	0.3285793494332183	0.4682982917214192	0.3767196616883465	0.6531682790917176	0.5729315628192033	0.3641542756224007	0.8988131653003792	0.4199914270640992	0.6011634073050409	0.2717874665660229	0.4842951275005171	0.5297624698577857	0.390893470790378	0.5809347587719298	0.3741339491916859	0.7150593824228029	0.48924847622288914	0.38385235768528875	0.42063217894464117	0.20741270208337714	0.6319074907900123	0.6910065247182507	0.47878028240731674	0.5258352355260427	0.41562963913274564	0.38048188181515163	0.19749283667621775	0.6108027733112021	0.4877217674728694	0.6309416115158152	0.5254448877683402	0.49742598390451975	0.38518488136010337	0.5841776588287771	0.6504297994269341	0.8145701407011333	0.7929525978306466	0.42479596905826417	0.8174167882868039	0.6028464927143341	0.3560524906266738	0.6341889748486712	0.5185872954696752	0.15328377840995994	0.6084556254367575	0.33818594432775645	0.5221980662509297
