clade_name	DRR111028	DRR111037	DRR111061	DRR111030	DRR111013	DRR111004	DRR111036	DRR111060	DRR111042	DRR111024	DRR111006	DRR111012
k__Archaea	0.019076	0.024250	0.017950	0.022608	0.019253	0.020487	0.019844	0.019510	0.020319	0.018946	0.017742	0.017436
k__Bacteria	1.044178	1.030162	1.047802	1.029488	1.027870	1.033533	1.036703	1.013326	1.045886	1.042499	1.031368	1.034782
k__Eukaryota	0.010781	0.014357	0.009957	0.013533	0.010711	0.012276	0.010455	0.011757	0.012200	0.012677	0.010383	0.009524
k__Bacteria|p__Actinobacteriota	0.098591	0.086047	0.079811	0.118479	0.081153	0.080459	0.104123	0.081395	0.090975	0.087428	0.078045	0.082667
k__Bacteria|p__Bacteroidota	0.438403	0.503336	0.465370	0.428967	0.473073	0.482913	0.441079	0.528840	0.453540	0.480931	0.477558	0.466943
k__Bacteria|p__Campilobacterota	0.012063	0.015402	0.010946	0.014332	0.011988	0.012337	0.012291	0.012395	0.012387	0.011323	0.010866	0.010693
k__Bacteria|p__Cyanobacteria	0.014382	0.021536	0.015564	0.018108	0.016273	0.017640	0.014813	0.018303	0.017194	0.017991	0.016130	0.015387
k__Bacteria|p__Desulfobacterota	0.023826	0.033778	0.024026	0.029610	0.025359	0.028241	0.024975	0.027833	0.027059	0.025987	0.024607	0.022899
k__Archaea|p__Euryarchaeota	0.018091	0.027132	0.017787	0.023635	0.019832	0.022880	0.018640	0.023549	0.022435	0.021281	0.019519	0.017936
k__Bacteria|p__Firmicutes	0.658557	0.678368	0.656533	0.681506	0.660766	0.654386	0.676553	0.635971	0.646947	0.615061	0.653789	0.641359
k__Bacteria|p__Fusobacteriota	0.050709	0.060722	0.048456	0.055283	0.053575	0.057193	0.047097	0.052728	0.056554	0.059600	0.047715	0.050439
k__Bacteria|p__Patescibacteria	0.011372	0.015817	0.010087	0.014338	0.011243	0.012824	0.011073	0.012417	0.012907	0.012185	0.010996	0.009810
k__Bacteria|p__Proteobacteria	0.108878	0.111900	0.092824	0.102779	0.106345	0.113113	0.103997	0.084445	0.103466	0.104115	0.088350	0.087674
k__Bacteria|p__Spirochaetota	0.036816	0.046735	0.036378	0.042429	0.037797	0.039451	0.036595	0.038642	0.038788	0.038620	0.035461	0.035460
k__Bacteria|p__Synergistota	0.012183	0.017090	0.011334	0.014467	0.012527	0.014365	0.012284	0.013340	0.013256	0.012869	0.011620	0.010428
k__Bacteria|p__Verrucomicrobiota	0.024566	0.033243	0.025345	0.027823	0.025680	0.029214	0.024662	0.028720	0.026733	0.030755	0.025409	0.023676
k__Bacteria|p__Actinobacteriota|c__Actinobacteria	0.076307	0.069703	0.061016	0.097049	0.063872	0.065077	0.086087	0.064681	0.069690	0.063327	0.062644	0.061106
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.023737	0.031829	0.023646	0.026751	0.025065	0.027443	0.024398	0.027271	0.025064	0.025279	0.023696	0.022293
k__Bacteria|p__Firmicutes|c__Bacilli	0.102869	0.106393	0.088706	0.110932	0.098349	0.099417	0.094577	0.083007	0.106962	0.103509	0.081580	0.092034
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.510689	0.540419	0.537612	0.467276	0.543555	0.518343	0.486969	0.540465	0.495684	0.490456	0.509669	0.528280
k__Bacteria|p__Spirochaetota|c__Brachyspirae	0.030534	0.041041	0.030100	0.036761	0.032340	0.033204	0.030251	0.033776	0.034666	0.029919	0.031327	0.030691
k__Bacteria|p__Campilobacterota|c__Campylobacteria	0.023043	0.035141	0.025214	0.029724	0.025697	0.028632	0.022433	0.028590	0.029136	0.026591	0.026360	0.024031
k__Bacteria|p__Firmicutes|c__Clostridia	0.591994	0.663092	0.596558	0.667909	0.581851	0.625880	0.641839	0.595764	0.603719	0.546820	0.621783	0.547022
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia	0.031402	0.034559	0.027855	0.037138	0.029603	0.030089	0.031795	0.028662	0.031612	0.029127	0.026984	0.028173
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia	0.017265	0.023767	0.015389	0.021677	0.017413	0.019709	0.016652	0.019855	0.019992	0.017794	0.016472	0.015619
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia	0.015578	0.021540	0.014745	0.020078	0.015858	0.017385	0.016540	0.020009	0.016971	0.016510	0.016527	0.014523
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia	0.033024	0.043228	0.033075	0.037104	0.035877	0.036856	0.029872	0.035246	0.038671	0.039156	0.031724	0.034976
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.118489	0.112303	0.096626	0.108446	0.108086	0.109250	0.112777	0.092475	0.105861	0.111118	0.089433	0.095606
k__Bacteria|p__Firmicutes|c__Incertae_Sedis	0.013109	0.017565	0.012444	0.014643	0.013835	0.014880	0.012439	0.014341	0.014169	0.014069	0.012183	0.012446
k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria	0.011918	0.019185	0.012532	0.016254	0.013232	0.016125	0.012417	0.016648	0.015192	0.016602	0.014214	0.011799
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.019725	0.027016	0.018192	0.023194	0.020283	0.021951	0.019099	0.020558	0.022064	0.019104	0.018037	0.017629
k__Bacteria|p__Firmicutes|c__Negativicutes	0.098925	0.112277	0.097696	0.092708	0.109056	0.101037	0.088690	0.104202	0.100940	0.096763	0.094529	0.103986
k__Bacteria|p__Patescibacteria|c__Saccharimonadia	0.017741	0.022557	0.016514	0.020895	0.017760	0.018861	0.017250	0.016420	0.019327	0.016324	0.015806	0.015750
k__Bacteria|p__Synergistota|c__Synergistia	0.016499	0.021899	0.015554	0.019627	0.016562	0.018371	0.016180	0.017677	0.017945	0.018247	0.016119	0.015291
k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia	0.017404	0.024406	0.015933	0.021078	0.018089	0.020466	0.017209	0.017577	0.020006	0.018643	0.016330	0.015364
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae	0.021983	0.027703	0.020610	0.027629	0.021902	0.024219	0.021551	0.022292	0.024975	0.023805	0.020752	0.019968
k__Bacteria|p__Firmicutes|c__uncultured	0.017811	0.025381	0.017629	0.020645	0.019043	0.021348	0.017198	0.020819	0.020369	0.019500	0.017890	0.017021
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.049015	0.063164	0.048643	0.054517	0.051585	0.056721	0.048316	0.059825	0.052098	0.055937	0.051090	0.046057
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Actinomycetales	0.018372	0.027580	0.019019	0.023856	0.020107	0.022749	0.019452	0.023764	0.021753	0.020585	0.020340	0.017916
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.044057	0.047186	0.035844	0.048326	0.040213	0.045153	0.042855	0.033793	0.043655	0.038690	0.033782	0.032378
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.016558	0.020120	0.015125	0.020510	0.016396	0.017502	0.017091	0.018401	0.017560	0.016994	0.016140	0.015303
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.530146	0.585399	0.551083	0.505796	0.567847	0.569881	0.511746	0.584983	0.543554	0.550210	0.549631	0.544794
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Bifidobacteriales	0.089734	0.078061	0.072544	0.107971	0.075251	0.072758	0.095829	0.078116	0.081891	0.079669	0.072888	0.077319
k__Bacteria|p__Spirochaetota|c__Brachyspirae|o__Brachyspirales	0.023760	0.030249	0.021322	0.027940	0.023365	0.025412	0.024531	0.023063	0.024675	0.022934	0.021219	0.019748
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales	0.042547	0.056672	0.044347	0.051457	0.045199	0.050646	0.042229	0.054343	0.050023	0.052020	0.046789	0.044426
k__Bacteria|p__Campilobacterota|c__Campylobacteria|o__Campylobacterales	0.014849	0.018521	0.013105	0.018089	0.014359	0.015045	0.014381	0.014648	0.016277	0.014089	0.012751	0.013236
k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Chloroplast	0.022373	0.028602	0.021468	0.026507	0.022661	0.024268	0.021780	0.024803	0.024687	0.024942	0.021493	0.021748
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales	0.068392	0.059821	0.051255	0.070925	0.054157	0.054330	0.075258	0.041232	0.053915	0.049314	0.045560	0.044368
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia	0.020089	0.026625	0.018988	0.023875	0.020698	0.022266	0.020539	0.023461	0.021390	0.020820	0.020265	0.018508
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_UCG-014	0.029314	0.033556	0.025429	0.030356	0.029291	0.029024	0.028411	0.029185	0.028577	0.027946	0.024837	0.026580
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_vadinBB60_group	0.015244	0.020890	0.014938	0.019665	0.016292	0.017641	0.016465	0.018929	0.017284	0.017567	0.016262	0.015363
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.014303	0.020061	0.013324	0.018454	0.014943	0.016712	0.015218	0.017049	0.016092	0.014780	0.014701	0.013205
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales	0.036259	0.048268	0.034393	0.043883	0.037158	0.041605	0.039011	0.040441	0.038020	0.036675	0.036498	0.031909
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Corynebacteriales	0.015753	0.021331	0.015555	0.019876	0.016505	0.018024	0.016246	0.020653	0.018160	0.019502	0.016564	0.016483
k__Bacteria|p__Firmicutes|c__Incertae_Sedis|o__DTU014	0.015022	0.019311	0.013834	0.019031	0.014742	0.016218	0.015942	0.017497	0.015781	0.016495	0.014938	0.013536
k__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales	0.025334	0.030040	0.023826	0.027988	0.025344	0.025775	0.024311	0.026023	0.025745	0.025836	0.023078	0.023835
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.052535	0.056152	0.044620	0.058677	0.047705	0.053814	0.052880	0.048095	0.052751	0.059155	0.044301	0.042195
k__Bacteria|p__Firmicutes|c__Bacilli|o__Erysipelotrichales	0.011934	0.016378	0.011023	0.014725	0.012094	0.013179	0.011681	0.013504	0.013228	0.012417	0.011249	0.011010
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	0.015638	0.021290	0.015720	0.018398	0.016631	0.018885	0.016312	0.016615	0.017016	0.017706	0.015550	0.013803
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales	0.019712	0.025023	0.017924	0.023518	0.019266	0.020717	0.020646	0.020120	0.020679	0.020407	0.018610	0.017762
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales	0.051882	0.064915	0.052919	0.055985	0.057471	0.061305	0.045928	0.056835	0.062867	0.062697	0.050582	0.055227
k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia|o__Gastranaerophilales	0.014572	0.021748	0.015076	0.018830	0.016051	0.018016	0.014587	0.018312	0.017672	0.016645	0.016474	0.014844
k__Bacteria|p__Firmicutes|c__Bacilli|o__Izemoplasmatales	0.014123	0.019215	0.013003	0.017318	0.014738	0.015543	0.014228	0.016758	0.015732	0.015014	0.013628	0.013517
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	0.296429	0.348955	0.298008	0.353452	0.300813	0.309876	0.317723	0.336755	0.318396	0.297607	0.318709	0.303291
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.097615	0.115179	0.086392	0.118277	0.094551	0.104033	0.094613	0.095278	0.105991	0.098147	0.090240	0.084493
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.024428	0.035082	0.025767	0.027834	0.027495	0.028849	0.025054	0.032842	0.027139	0.027114	0.027947	0.026409
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales	0.014423	0.021715	0.014377	0.018760	0.015700	0.018321	0.014986	0.019467	0.017523	0.018599	0.016043	0.014608
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales	0.025836	0.035236	0.025941	0.032095	0.027209	0.029973	0.026568	0.030109	0.028685	0.027719	0.026930	0.025238
k__Bacteria|p__Verrucomicrobiota|c__Lentisphaeria|o__Oligosphaerales	0.020980	0.029597	0.021008	0.025828	0.022752	0.024653	0.020595	0.026778	0.025237	0.023958	0.022489	0.021737
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales	0.068972	0.078294	0.066128	0.074452	0.067498	0.069014	0.070312	0.068759	0.069538	0.073398	0.065973	0.066691
k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales	0.470540	0.489854	0.459564	0.510343	0.449840	0.461030	0.491535	0.416828	0.460848	0.421140	0.442053	0.431719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.021048	0.026257	0.018811	0.024500	0.020828	0.021948	0.020973	0.021283	0.021607	0.019929	0.019253	0.018238
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptococcales	0.023353	0.030358	0.022441	0.027362	0.023920	0.026001	0.022756	0.024464	0.026047	0.025282	0.022244	0.022315
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales	0.021660	0.032140	0.021977	0.025172	0.024666	0.026909	0.020558	0.023778	0.026850	0.022687	0.022435	0.021749
k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Propionibacteriales	0.016869	0.024240	0.017115	0.020678	0.017986	0.019893	0.016390	0.017965	0.020066	0.018562	0.017394	0.016610
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.032688	0.037042	0.029229	0.036776	0.032030	0.032000	0.032936	0.032121	0.032322	0.031516	0.028933	0.029958
k__Bacteria|p__Firmicutes|c__Bacilli|o__RF39	0.021035	0.030032	0.022563	0.025406	0.023391	0.025110	0.021463	0.027495	0.024347	0.025345	0.023483	0.022611
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.013165	0.018003	0.012673	0.017069	0.013439	0.014968	0.013760	0.016666	0.014526	0.014264	0.013834	0.012543
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.017318	0.021582	0.015498	0.019845	0.017277	0.018003	0.017709	0.017880	0.018128	0.018444	0.015978	0.016023
