clade_name	ERR1398151	ERR1398080	ERR1398101	ERR1398181	ERR1398239	ERR1398202	ERR1398231	ERR1398192	ERR1398142	ERR1398086	ERR1398075	ERR1398073	ERR1398193	ERR1398229	ERR1398238	ERR1398249	ERR1398191	ERR1398128	ERR1398112	ERR1398209	ERR1398124	ERR1398241	ERR1398204	ERR1398157	ERR1398131	ERR1398123	ERR1398178	ERR1398234	ERR1398243	ERR1398113	ERR1398090	ERR1398223	ERR1398134	ERR1398105	ERR1398072	ERR1398148	ERR1398246	ERR1398174	ERR1398228	ERR1398094
k__Archaea	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1.6e-05	1.3e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	1.8e-05	1e-05
k__Archaea|p__Euryarchaeota	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.3e-05	1.9e-05	1.2e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.1e-05	1e-05	1e-05	1.9e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.9e-05	1.3e-05	1.7e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	2e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.8e-05	1.3e-05	1.6e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	2e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.7e-05	1.3e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1.5e-05	1.2e-05	1e-05	1e-05	2e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.2e-05	1.5e-05	1.3e-05	1.3e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.7e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.5e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.6e-05	1.2e-05	1e-05	1e-05	1.7e-05	1e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1.8e-05	1.2e-05	1.6e-05	1.1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.8e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.9e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1.4e-05	1e-05	1.5e-05	1.1e-05	1e-05	1e-05	1.9e-05	1e-05
k__Bacteria	0.991349	0.995172	0.971798	1.004303	1.007652	0.995469	1.018003	0.983306	0.994605	1.009046	1.01077	1.010334	1.002597	1.002298	0.997365	1.003541	1.003504	0.998885	1.004947	0.984879	0.99325	0.99724	1.007913	0.989847	1.000948	0.994659	1.021894	1.003272	1.001905	0.996208	1.001801	0.975333	1.006713	0.99585	1.014922	1.017874	0.983855	0.989442	1.005569	1.010124
k__Bacteria|p__Actinobacteria	0.029931	0.032951	0.040024	0.007471	0.055731	0.010439	0.065147	0.041927	0.017977	0.055313	0.059257	0.022733	0.008772	0.008032	0.027312	0.008294	0.007828	0.034646	0.024574	0.028071	0.027699	0.028694	0.02394	0.05048	0.008575	0.031634	0.054203	0.009039	0.008048	0.033602	0.008385	0.043511	0.022683	0.062488	0.020348	0.017646	0.050737	0.031797	0.066695	0.022751
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.015878	0.019041	0.023219	0.004408	0.034139	0.006271	0.043439	0.026036	0.011375	0.034865	0.037766	0.012951	0.005191	0.004729	0.015391	0.004905	0.004635	0.020136	0.013967	0.018557	0.01573	0.016418	0.013575	0.030652	0.005104	0.017955	0.034952	0.005325	0.004788	0.019476	0.005035	0.026176	0.014304	0.039737	0.012985	0.010572	0.031335	0.017934	0.043861	0.012928
