clade_name	ERR4623366	ERR4623051	ERR4622866	ERR4623354	ERR4622962	ERR4623508	ERR4623367	ERR4622772	ERR4623425	ERR4623371	ERR4623363	ERR4623062	ERR4622884	ERR4622795	ERR4622950	ERR4622788	ERR4623205	ERR4623393	ERR4623407	ERR4623441	ERR4623506	ERR4623429	ERR4623170	ERR4623300	ERR4623150	ERR4623430	ERR4622949	ERR4622979	ERR4622881	ERR4623364	ERR4622869	ERR4622740	ERR4623269	ERR4623147	ERR4623456	ERR4623385	ERR4623195	ERR4622989	ERR4623511	ERR4622941	ERR4623444	ERR4623176	ERR4623330	ERR4623433	ERR4623507	ERR4623089	ERR4623022	ERR4623437	ERR4623047	ERR4623332	ERR4622750	ERR4623392	ERR4622859	ERR4622746	ERR4622731	ERR4622756	ERR4622801	ERR4623344	ERR4623369	ERR4623213	ERR4623091	ERR4622823	ERR4623164	ERR4623402	ERR4623275	ERR4623251	ERR4623431	ERR4623299	ERR4622956	ERR4622920	ERR4622995	ERR4622825	ERR4623064	ERR4623357	ERR4622767	ERR4623005	ERR4622919	ERR4623146	ERR4623191	ERR4622928	ERR4622877	ERR4623458	ERR4622827	ERR4622899	ERR4623451	ERR4623519	ERR4622763	ERR4622965	ERR4622835	ERR4622952	ERR4623336	ERR4623360	ERR4623050	ERR4623361	ERR4623503	ERR4622961	ERR4623303	ERR4622978	ERR4622757	ERR4622733	ERR4623472	ERR4622783	ERR4622963	ERR4623163	ERR4623086	ERR4622805	ERR4622722	ERR4623462	ERR4622768	ERR4622745	ERR4622863	ERR4623069	ERR4623136
UNKNOWN	0.001986	0.000254	0.000047	0.000094	0.000219	0.000101	0.002037	0.000038	0.000157	0.000040	0.009382	0.000031	0.000024	0.000082	0.000344	0.000090	0.000898	0.000266	0.000151	0.000010	0.001540	0.000010	0.000024	0.000178	0.054256	0.000152	0.000304	0.000121	0.000035	0.010580	0.000063	0.000017	0.002049	0.000919	0.000130	0.000356	0.000710	0.000010	0.000103	0.001337	0.000131	0.000116	0.000021	0.000125	0.000109	0.000049	0.000159	0.000045	0.000254	0.000031	0.001457	0.000297	0.000191	0.003876	0.005085	0.000173	0.002153	0.000391	0.002216	0.000130	0.000054	0.000098	0.000062	0.000225	0.000085	0.001679	0.000136	0.000177	0.000657	0.000477	0.000235	0.000124	0.000015	0.000114	0.000134	0.000194	0.000501	0.000916	0.008840	0.000074	0.000267	0.001233	0.000071	1.483687	0.000103	0.000240	0.000138	0.000010	0.000224	0.000650	0.000030	0.000097	0.000244	0.010583	0.002207	0.000220	0.000190	0.000125	0.000189	0.004492	0.001411	0.000075	0.000213	0.000063	0.001057	0.000020	0.004458	0.001114	0.000034	0.003533	0.000541	0.000010	0.000468
k__Archaea	0.000010	0.000010	0.000322	0.000525	0.000010	0.000038	0.000010	0.000010	0.000085	0.000010	0.000010	0.000010	0.000037	0.000087	0.000010	0.023854	0.000024	0.000010	0.019639	0.000038	0.000010	0.000119	0.000234	0.000010	0.000193	0.000010	0.000010	0.000169	0.000047	0.000010	0.000302	0.000053	0.000032	0.000022	0.000057	0.000010	0.000711	0.000017	0.000040	0.000010	0.000191	0.000010	0.000084	0.000010	0.000045	0.000010	0.000041	0.000121	0.000223	0.000083	0.000010	0.000010	0.000208	0.000010	0.000058	0.000019	0.000015	0.000116	0.000010	0.000030	0.000010	0.000036	0.000010	0.031640	0.000010	0.000052	0.000010	0.000010	0.000011	0.000271	0.000400	0.000010	0.000352	0.000182	0.000035	0.000010	0.000200	0.000022	0.000112	0.000042	0.012570	0.000028	0.000032	0.000010	0.000314	0.000024	0.000039	0.000010	0.000010	0.000010	0.000075	0.000194	0.000010	0.000010	0.000010	0.000010	0.000010	0.000174	0.000018	0.000056	0.000035	0.000345	0.000010	0.000010	0.000050	0.000109	0.000308	0.011871	0.000433	0.000010	0.000010	0.000155	0.000026
k__Archaea|p__Euryarchaeota	0.000010	0.000010	0.000285	0.000478	0.000010	0.000033	0.000010	0.000010	0.000051	0.000013	0.000010	0.000010	0.000039	0.000075	0.000010	0.023386	0.000017	0.000012	0.018442	0.000043	0.000010	0.000151	0.000200	0.000010	0.000281	0.000010	0.000010	0.000137	0.000045	0.000010	0.000282	0.000049	0.000027	0.000016	0.000047	0.000010	0.000465	0.000026	0.000035	0.000010	0.000232	0.000010	0.000106	0.000010	0.000041	0.000010	0.000040	0.000125	0.000198	0.000103	0.000010	0.000013	0.000146	0.000010	0.000051	0.000020	0.000010	0.000104	0.000010	0.000036	0.000010	0.000053	0.000010	0.031688	0.000010	0.000051	0.000010	0.000010	0.000011	0.000276	0.000362	0.000011	0.000302	0.000147	0.000034	0.000010	0.000211	0.000016	0.000132	0.000045	0.014632	0.000021	0.000035	0.000010	0.000293	0.000027	0.000037	0.000010	0.000010	0.000010	0.000096	0.000158	0.000010	0.000010	0.000010	0.000010	0.000010	0.000142	0.000019	0.000049	0.000040	0.000270	0.000010	0.000010	0.000060	0.000116	0.000280	0.012690	0.000376	0.000010	0.000010	0.000134	0.000038
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.000010	0.000010	0.000400	0.000508	0.000010	0.000028	0.000010	0.000010	0.000116	0.000010	0.000010	0.000010	0.000044	0.000080	0.000010	0.010004	0.000025	0.000010	0.019664	0.000050	0.000010	0.000095	0.000102	0.000013	0.000280	0.000010	0.000010	0.000119	0.000054	0.000010	0.000396	0.000053	0.000036	0.000023	0.000055	0.000010	0.000465	0.000018	0.000031	0.000010	0.000130	0.000010	0.000097	0.000010	0.000036	0.000010	0.000059	0.000107	0.000113	0.000096	0.000010	0.000010	0.000107	0.000010	0.000070	0.000021	0.000010	0.000087	0.000010	0.000038	0.000010	0.000035	0.000010	0.030906	0.000010	0.000069	0.000010	0.000012	0.000014	0.000238	0.000260	0.000010	0.000335	0.000139	0.000037	0.000010	0.000180	0.000023	0.000148	0.000042	0.013685	0.000030	0.000043	0.000010	0.000277	0.000034	0.000042	0.000011	0.000010	0.000014	0.000090	0.000144	0.000010	0.000010	0.000010	0.000010	0.000012	0.000122	0.000020	0.000067	0.000032	0.000212	0.000010	0.000010	0.000065	0.000114	0.000301	0.011742	0.000320	0.000010	0.000010	0.000162	0.000042
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.000010	0.000010	0.000464	0.000473	0.000010	0.000032	0.000010	0.000010	0.000102	0.000010	0.000010	0.000010	0.000034	0.000088	0.000010	0.010065	0.000028	0.000013	0.018786	0.000032	0.000010	0.000113	0.000096	0.000010	0.000214	0.000010	0.000010	0.000129	0.000042	0.000010	0.000466	0.000050	0.000041	0.000027	0.000056	0.000010	0.000456	0.000024	0.000034	0.000010	0.000127	0.000010	0.000077	0.000010	0.000039	0.000010	0.000034	0.000081	0.000100	0.000073	0.000010	0.000013	0.000118	0.000010	0.000064	0.000021	0.000014	0.000106	0.000010	0.000050	0.000010	0.000037	0.000010	0.029506	0.000010	0.000046	0.000010	0.000010	0.000014	0.000259	0.000337	0.000010	0.000394	0.000140	0.000038	0.000010	0.000199	0.000027	0.000155	0.000030	0.013971	0.000032	0.000053	0.000010	0.000272	0.000034	0.000042	0.000010	0.000010	0.000014	0.000069	0.000148	0.000010	0.000010	0.000010	0.000010	0.000010	0.000133	0.000020	0.000063	0.000036	0.000222	0.000010	0.000010	0.000060	0.000087	0.000285	0.012964	0.000257	0.000010	0.000010	0.000181	0.000024
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.000010	0.000010	0.000348	0.000467	0.000010	0.000032	0.000010	0.000010	0.000089	0.000010	0.000010	0.000010	0.000041	0.000106	0.000011	0.009407	0.000023	0.000010	0.019540	0.000044	0.000010	0.000101	0.000114	0.000012	0.000217	0.000010	0.000010	0.000109	0.000050	0.000010	0.000351	0.000050	0.000035	0.000022	0.000062	0.000010	0.000598	0.000019	0.000035	0.000010	0.000124	0.000010	0.000068	0.000010	0.000040	0.000010	0.000043	0.000085	0.000170	0.000066	0.000010	0.000010	0.000097	0.000010	0.000060	0.000017	0.000013	0.000099	0.000010	0.000044	0.000010	0.000032	0.000010	0.030220	0.000010	0.000055	0.000010	0.000011	0.000014	0.000215	0.000301	0.000010	0.000339	0.000119	0.000047	0.000010	0.000166	0.000022	0.000137	0.000050	0.012940	0.000027	0.000048	0.000010	0.000267	0.000026	0.000052	0.000012	0.000010	0.000014	0.000062	0.000127	0.000010	0.000010	0.000010	0.000010	0.000011	0.000112	0.000016	0.000058	0.000029	0.000201	0.000010	0.000010	0.000051	0.000128	0.000292	0.011278	0.000270	0.000010	0.000010	0.000156	0.000042
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.000010	0.000010	0.000391	0.000408	0.000010	0.000026	0.000010	0.000010	0.000095	0.000010	0.000010	0.000010	0.000039	0.000085	0.000010	0.009911	0.000021	0.000010	0.019088	0.000051	0.000010	0.000091	0.000119	0.000012	0.000235	0.000010	0.000010	0.000122	0.000049	0.000010	0.000383	0.000051	0.000030	0.000019	0.000064	0.000010	0.000462	0.000020	0.000028	0.000010	0.000107	0.000010	0.000074	0.000010	0.000032	0.000010	0.000043	0.000105	0.000196	0.000073	0.000010	0.000010	0.000102	0.000010	0.000054	0.000019	0.000010	0.000101	0.000010	0.000050	0.000010	0.000030	0.000010	0.030128	0.000010	0.000052	0.000010	0.000011	0.000013	0.000241	0.000286	0.000010	0.000336	0.000119	0.000048	0.000010	0.000187	0.000019	0.000121	0.000041	0.015844	0.000025	0.000057	0.000010	0.000248	0.000028	0.000054	0.000010	0.000010	0.000013	0.000067	0.000126	0.000010	0.000010	0.000010	0.000010	0.000011	0.000126	0.000019	0.000052	0.000037	0.000204	0.000010	0.000010	0.000056	0.000092	0.000342	0.011908	0.000325	0.000010	0.000010	0.000161	0.000043
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.000010	0.000010	0.000442	0.000432	0.000010	0.000037	0.000010	0.000010	0.000075	0.000010	0.000010	0.000010	0.000049	0.000098	0.000010	0.009184	0.000022	0.000011	0.019582	0.000041	0.000010	0.000084	0.000141	0.000011	0.000224	0.000010	0.000010	0.000139	0.000061	0.000010	0.000438	0.000045	0.000036	0.000022	0.000067	0.000010	0.000379	0.000020	0.000039	0.000010	0.000101	0.000010	0.000068	0.000010	0.000044	0.000010	0.000032	0.000093	0.000211	0.000068	0.000010	0.000011	0.000134	0.000010	0.000059	0.000020	0.000012	0.000107	0.000010	0.000055	0.000010	0.000034	0.000010	0.030747	0.000010	0.000061	0.000010	0.000011	0.000017	0.000292	0.000340	0.000010	0.000331	0.000142	0.000053	0.000010	0.000226	0.000022	0.000138	0.000050	0.015417	0.000026	0.000056	0.000010	0.000202	0.000026	0.000058	0.000012	0.000010	0.000016	0.000064	0.000151	0.000010	0.000010	0.000010	0.000010	0.000010	0.000144	0.000019	0.000058	0.000037	0.000196	0.000010	0.000010	0.000045	0.000099	0.000275	0.011662	0.000384	0.000010	0.000010	0.000154	0.000034
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0.000010	0.000010	0.000010	0.000035	0.000010	0.000010	0.000010	0.000015	0.000010	0.000011	0.000013	0.000010	0.000013	0.000010	0.000010	0.013352	0.000010	0.000010	0.000044	0.000010	0.000010	0.000012	0.000180	0.000010	0.000016	0.000010	0.000010	0.000017	0.000014	0.000014	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000239	0.000010	0.000010	0.000010	0.000200	0.000010	0.000031	0.000010	0.000010	0.000010	0.000028	0.000071	0.000167	0.000037	0.000010	0.000010	0.000052	0.000010	0.000010	0.000012	0.000010	0.000017	0.000010	0.000010	0.000010	0.000019	0.000010	0.000173	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000025	0.000010	0.000014	0.000145	0.000010	0.000010	0.000010	0.000010	0.000010	0.000013	0.000219	0.000010	0.000010	0.000010	0.000046	0.000010	0.000010	0.000010	0.000010	0.000010	0.000031	0.000143	0.000010	0.000014	0.000010	0.000010	0.000010	0.000019	0.000012	0.000010	0.000014	0.000209	0.000010	0.000010	0.000010	0.000036	0.000011	0.000600	0.000081	0.000010	0.000010	0.000010	0.000011
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	0.000010	0.000010	0.000010	0.000036	0.000010	0.000010	0.000010	0.000017	0.000010	0.000013	0.000015	0.000010	0.000021	0.000010	0.000014	0.013061	0.000010	0.000010	0.000069	0.000010	0.000010	0.000010	0.000222	0.000010	0.000022	0.000010	0.000013	0.000031	0.000023	0.000016	0.000010	0.000010	0.000010	0.000010	0.000010	0.000010	0.000195	0.000010	0.000010	0.000010	0.000152	0.000010	0.000036	0.000010	0.000010	0.000010	0.000033	0.000066	0.000136	0.000041	0.000010	0.000010	0.000074	0.000010	0.000010	0.000010	0.000010	0.000032	0.000010	0.000010	0.000010	0.000019	0.000010	0.000234	0.000010	0.000010	0.000010	0.000010	0.000014	0.000010	0.000023	0.000010	0.000020	0.000245	0.000010	0.000010	0.000010	0.000010	0.000010	0.000019	0.000338	0.000010	0.000010	0.000010	0.000062	0.000010	0.000010	0.000010	0.000010	0.000013	0.000035	0.000251	0.000010	0.000016	0.000010	0.000010	0.000010	0.000033	0.000010	0.000010	0.000015	0.000225	0.000010	0.000010	0.000010	0.000029	0.000014	0.000686	0.000128	0.000010	0.000010	0.000010	0.000012
