V1	V9	V10	V11	V12	V13	V14	V15	V23	V24	V25	V28	
1	0.93847572	0.012238374	0.019971212	0.015514097	0.015140338	0.03048188	0.047185229	0.604678161	0.11212212	0.172677277	0.171830451	0.097515965
2	0.906321315	0.631571005	0.867564269	0.625083801	0.782772888	0.28992032	0.369715256	0.768883082	0.778719972	0.902525606	0.999453255	0.437167614
3	0.725974796	0.000160839	2.82E-05	0.000100274	5.85E-06	0.00012466	8.50E-06	0.180483079	1.06E-05	2.39E-07	5.72E-06	2.96E-08
4	0.349461937	0.156729386	0.056161045	0.181364854	0.037040594	0.270576969	0.08087382	0.119017851	0.325358526	0.029181149	0.511262867	0.009856428
5	0.681379703	0.674335806	0.638904467	0.813408622	0.703972118	0.627443389	0.456093002	0.304093281	0.226744215	0.494000879	0.27739961	0.515380212
6	0.584342336	0.099159898	0.122373582	0.191854384	0.132896553	0.114415114	0.238952939	0.30119332	0.293500556	0.148780779	0.535169098	0.037127919
7	0.654097002	0.035607718	0.026459138	0.059777263	0.029852967	0.13748167	0.076533993	0.592992206	0.000289996	0.000253136	0.014992851	0.000109218
8	0.564081277	0.2278204	0.207961715	0.269970971	0.250136916	0.002580552	0.00082405	0.62748984	0.602249516	0.549420634	0.106140345	0.008296747
9	0.587260614	0.77191414	0.855993838	0.845539909	0.81253229	0.883886281	0.920351135	0.466521973	0.855484689	0.347798106	0.722220745	0.489226189
10	0.8493604	0.112357341	0.180853958	0.122177305	0.164155516	0.053404982	0.164611673	0.91164134	0.269733785	0.680544229	0.334581469	0.136283929
11	0.170467234	0.941332569	0.62734901	0.87709043	0.721475532	0.758821454	0.647030884	0.1628508	5.13E-05	5.89E-08	0.022172046	7.42E-11
12	0.609011782	1.21E-05	1.07E-05	5.28E-05	7.55E-06	0.000626622	0.000395554	0.922637942	0	0	0.135421992	0.00046454
13	0.06087418	0.696428011	0.215620637	0.87543166	0.271712991	0.576124315	0.434326265	0.102589163	0.096293842	0.004134308	0.320629133	0.213036106
14	0.244057481	0.117477751	0.138396472	0.098395053	0.120959525	0.013812994	0.006648149	0.25499641	0.922242798	0.939970797	0.002014925	1.00E-06
