# Feature / Sample	Validation|UMCGIBD00126	Validation|UMCGIBD00371	Validation|UMCGIBD00485	Validation|UMCGIBD00238	Validation|UMCGIBD00269	Validation|UMCGIBD00053	Validation|UMCGIBD00613	Validation|UMCGIBD00347	Validation|UMCGIBD00208	Validation|UMCGIBD00027	Validation|UMCGIBD00072	Validation|LLDeep_0010	Validation|LLDeep_0027
Methanosphaera_stadtmanae	0.001694	0.001728	0.002479	0.001827	0.001688	0.001724	0.001791	0.001678	0.002845	0.001734	0.001688	0.001813	0.001706
Rothia_mucilaginosa	0.005751	0.00547	0.004267	0.005214	0.005759	0.005587	0.005212	0.00557	0.004846	0.005551	0.005693	0.005261	0.005586
Propionibacterium_freudenreichii	0.003266	0.003134	0.003456	0.003232	0.003229	0.003196	0.003116	0.003149	0.003666	0.003199	0.003189	0.003059	0.003121
Bifidobacterium_adolescentis	0.085044	0.069651	0.016564	0.047288	0.085656	0.077334	0.052632	0.072776	0.014984	0.072303	0.07922	0.046382	0.073889
Bifidobacterium_animalis	0.000538	0.000537	0.000747	0.000572	0.000537	0.000534	0.000563	0.000547	0.000915	0.000539	0.000546	0.00059	0.000539
Bifidobacterium_bifidum	0.03327	0.028904	0.011709	0.023379	0.033389	0.031746	0.024407	0.030057	0.010364	0.030393	0.031538	0.02285	0.03032
Bifidobacterium_breve	0.002957	0.002838	0.002687	0.002823	0.002919	0.002866	0.002752	0.002898	0.003003	0.002838	0.002897	0.002797	0.002789
Bifidobacterium_catenulatum	0.003716	0.003578	0.003403	0.003381	0.003707	0.003594	0.003528	0.003506	0.003636	0.003592	0.003646	0.003359	0.003591
Bifidobacterium_dentium	0.001808	0.001716	0.001615	0.00161	0.001806	0.001783	0.00164	0.001768	0.001715	0.001732	0.001782	0.001585	0.001725
Bifidobacterium_longum	0.056887	0.052697	0.027885	0.045103	0.056911	0.05435	0.047185	0.053293	0.025338	0.052869	0.055325	0.042946	0.052748
Bifidobacterium_pseudocatenulatum	0.005525	0.005393	0.005235	0.005206	0.005492	0.005327	0.005315	0.005359	0.005083	0.005401	0.005492	0.0051	0.005303
Adlercreutzia_equolifaciens	0.001208	0.001136	0.000884	0.001055	0.001213	0.00118	0.001052	0.001169	0.000966	0.001158	0.001183	0.001042	0.001154
Collinsella_aerofaciens	0.045929	0.041866	0.021048	0.035865	0.045969	0.044688	0.037259	0.042177	0.019035	0.043136	0.044246	0.034045	0.043089
Collinsella_intestinalis	0.001578	0.001531	0.001556	0.00156	0.001575	0.001546	0.001518	0.001531	0.001845	0.001565	0.001553	0.001528	0.001554
Collinsella_unclassified	0.00849	0.007901	0.005455	0.00699	0.00854	0.008362	0.007199	0.008089	0.00542	0.008015	0.008286	0.006991	0.008048
Eggerthella_lenta	0.000886	0.000849	0.000721	0.000816	0.000881	0.00087	0.000819	0.000863	0.000778	0.000867	0.000872	0.000797	0.000854
Eggerthella_sp_1_3_56FAA	0.001973	0.001931	0.001827	0.001942	0.001946	0.001911	0.001904	0.001923	0.002095	0.001945	0.001948	0.001881	0.001906
Eggerthella_unclassified	0.006692	0.006307	0.004833	0.00586	0.006718	0.006576	0.005929	0.00635	0.004826	0.006403	0.006489	0.005559	0.006379
Gordonibacter_pamelaeae	0.001108	0.00105	0.001004	0.001047	0.001106	0.001065	0.001038	0.001064	0.001146	0.001072	0.00109	0.001006	0.001052
Slackia_piriformis	0.000551	0.00053	0.000548	0.000526	0.000548	0.000533	0.00053	0.000538	0.000655	0.000531	0.000543	0.000513	0.000526
Bacteroides_caccae	0.006292	0.005887	0.004198	0.005391	0.006314	0.006136	0.005604	0.006061	0.004614	0.005989	0.006156	0.005363	0.006032
Bacteroides_cellulosilyticus	0.000742	0.000693	0.000483	0.00061	0.000745	0.000723	0.00063	0.000695	0.000569	0.000712	0.000721	0.000619	0.000712
Bacteroides_dorei	0.00678	0.006624	0.006154	0.006492	0.006775	0.006684	0.006538	0.006624	0.006571	0.006647	0.006673	0.006525	0.006645
Bacteroides_eggerthii	0.002898	0.002735	0.002331	0.002672	0.002877	0.002792	0.002769	0.002751	0.002788	0.002735	0.002793	0.00256	0.002722
Bacteroides_faecis	0.000676	0.000622	0.000468	0.000539	0.000679	0.000653	0.000558	0.000629	0.000516	0.000635	0.000658	0.000553	0.000644
Bacteroides_finegoldii	0.004784	0.004632	0.004034	0.004412	0.00479	0.004703	0.004508	0.004628	0.004621	0.004588	0.00473	0.004338	0.004665
Bacteroides_fragilis	0.003337	0.003321	0.00382	0.003457	0.003327	0.003299	0.003401	0.003298	0.004262	0.003355	0.003319	0.003414	0.003283
Bacteroides_intestinalis	0.002071	0.002002	0.002183	0.002037	0.002058	0.002031	0.00202	0.002053	0.002461	0.002023	0.002041	0.002052	0.002007
Bacteroides_massiliensis	0.001648	0.001594	0.001539	0.001546	0.001644	0.001634	0.00155	0.001641	0.001696	0.001612	0.001644	0.001556	0.001598
Bacteroides_ovatus	0.003309	0.003204	0.002616	0.003	0.00329	0.003283	0.002968	0.003164	0.002724	0.003249	0.003263	0.00297	0.003254
Bacteroides_salyersiae	0.003667	0.003393	0.002876	0.003255	0.003639	0.003547	0.003308	0.003545	0.003203	0.003422	0.003568	0.003103	0.003393
Bacteroides_sp_2_1_22	0.002669	0.002535	0.001827	0.002397	0.002688	0.002591	0.002463	0.002542	0.002153	0.00259	0.0026	0.002404	0.002561
Bacteroides_stercoris	0.007251	0.006505	0.002954	0.005309	0.007378	0.007072	0.005796	0.006707	0.003057	0.006734	0.00704	0.005372	0.006855
Bacteroides_thetaiotaomicron	0.003206	0.003394	0.00694	0.004091	0.003166	0.003274	0.00378	0.003354	0.008423	0.003415	0.003269	0.003972	0.003315
Bacteroides_uniformis	0.013273	0.012231	0.007157	0.011106	0.013397	0.012995	0.01152	0.012555	0.006905	0.012684	0.012943	0.01062	0.01257
Bacteroides_vulgatus	0.009888	0.010418	0.02303	0.012263	0.009882	0.010173	0.011506	0.010381	0.027577	0.010343	0.010221	0.012273	0.010261
Bacteroides_xylanisolvens	0.000799	0.000718	0.000502	0.000672	0.000797	0.000761	0.00068	0.000762	0.000648	0.000738	0.000773	0.000655	0.000741
Bacteroidales_bacterium_ph8	0.001098	0.001035	0.000949	0.001002	0.001099	0.001077	0.001022	0.001084	0.001056	0.001046	0.001085	0.000985	0.001046
Barnesiella_intestinihominis	0.003674	0.003387	0.002221	0.003112	0.003695	0.003577	0.00319	0.003433	0.002385	0.003519	0.003556	0.002987	0.003523
Odoribacter_laneus	0.004251	0.003893	0.00254	0.003404	0.004256	0.004044	0.003536	0.00388	0.002775	0.003976	0.004078	0.003266	0.00397
Odoribacter_splanchnicus	0.000425	0.000414	0.000393	0.000408	0.000422	0.000417	0.000407	0.000419	0.000473	0.00041	0.000422	0.000397	0.000407
Parabacteroides_distasonis	0.001132	0.001078	0.000947	0.001027	0.001134	0.001113	0.001027	0.001086	0.001011	0.00111	0.001119	0.001003	0.001098
Parabacteroides_goldsteinii	0.006009	0.005574	0.004301	0.00521	0.006004	0.00588	0.005307	0.005658	0.004644	0.005744	0.005777	0.005117	0.005751
Parabacteroides_merdae	0.001903	0.00176	0.001353	0.001634	0.001905	0.001816	0.001694	0.001759	0.001541	0.001813	0.001834	0.001611	0.001799
Parabacteroides_unclassified	0.002036	0.002052	0.002638	0.002099	0.002028	0.002009	0.00215	0.002064	0.003175	0.002036	0.002052	0.002169	0.002037
