# Feature / Sample	PRISM|7860	PRISM|8573	PRISM|9079	PRISM|8758	PRISM|7855	PRISM|7408	PRISM|7947	PRISM|8735	PRISM|8264	PRISM|8784	PRISM|8565	PRISM|8537	PRISM|8849	PRISM|8226	PRISM|8754	PRISM|7911	PRISM|7897	PRISM|9126	PRISM|8464	PRISM|8803	PRISM|8629	PRISM|7421	PRISM|8878	PRISM|8998	PRISM|7908	PRISM|8692	PRISM|8894	PRISM|8361	PRISM|8605	PRISM|8746	PRISM|7744
Methanosphaera_stadtmanae	0.000761	0.000388	0.000658	7e-06	0.001022	0.000255	0.000821	0.000392	9e-06	0.000924	8e-06	0.000133	0.000304	8e-06	0.001033	0.00042	0.000322	0.001004	2.3e-05	0.000988	0.000364	0.000382	0.001024	0.000389	0.000878	0.001035	0.001029	0.000394	0.000395	8e-06	0.000767
Rothia_mucilaginosa	3.8e-05	5.9e-05	4.2e-05	0.000491	3.4e-05	0.00014	3.7e-05	7.6e-05	0.000526	3.4e-05	0.00053	0.000176	0.000106	0.000486	3.3e-05	5.7e-05	0.000105	3.4e-05	0.000443	3.4e-05	9.2e-05	6.6e-05	3.3e-05	6.2e-05	3.6e-05	3.3e-05	3.3e-05	7.1e-05	6.3e-05	0.000497	3.8e-05
Propionibacterium_freudenreichii	6.4e-05	6.4e-05	6.4e-05	1.9e-05	6.7e-05	8.1e-05	6.5e-05	7.3e-05	2.2e-05	6.5e-05	2.1e-05	6.5e-05	8e-05	1.9e-05	6.7e-05	6.6e-05	8.1e-05	6.7e-05	3.1e-05	6.7e-05	7.9e-05	6.7e-05	6.7e-05	6.6e-05	6.5e-05	6.7e-05	6.7e-05	7e-05	6.6e-05	1.9e-05	6.5e-05
Bifidobacterium_adolescentis	0.035959	0.053273	0.039954	0.010059	0.02653	0.051855	0.032256	0.056256	0.010937	0.029357	0.009926	0.048251	0.054388	0.010135	0.025965	0.054068	0.055268	0.02738	0.01989	0.026801	0.055656	0.053627	0.026314	0.054753	0.031085	0.025806	0.026307	0.054921	0.054421	0.009718	0.034176
Bifidobacterium_animalis	0.001995	0.002153	0.002078	0.000894	0.00197	0.001896	0.001988	0.002214	0.000999	0.001976	0.000947	0.001525	0.002062	0.000934	0.001977	0.002144	0.002092	0.001976	0.001236	0.001993	0.00216	0.00217	0.001975	0.002158	0.00199	0.001983	0.00198	0.002202	0.002159	0.000931	0.002037
Bifidobacterium_bifidum	0.010023	0.012692	0.010396	0.000727	0.009358	0.016504	0.009619	0.014657	0.000843	0.009504	0.000738	0.013641	0.01617	0.000726	0.00923	0.012652	0.016529	0.009403	0.001892	0.009238	0.016008	0.013193	0.009188	0.013095	0.009628	0.009189	0.009254	0.013995	0.013228	0.000712	0.009758
Bifidobacterium_breve	0.000251	0.000689	0.000315	0.022065	0.000171	0.002346	0.000226	0.000942	0.022922	0.000193	0.023293	0.003946	0.001626	0.021837	0.000167	0.000631	0.001551	0.000176	0.01557	0.000177	0.001245	0.000792	0.000168	0.000732	0.000207	0.000167	0.000169	0.000866	0.00074	0.022544	0.000251
Bifidobacterium_catenulatum	0.000168	0.000128	0.000163	7e-06	0.000195	0.000124	0.000175	0.000136	8e-06	0.000182	7e-06	8.1e-05	0.000126	7e-06	0.000197	0.000133	0.000129	0.000193	1.7e-05	0.000194	0.000136	0.000129	0.000195	0.00013	0.00018	0.000198	0.000196	0.000133	0.00013	7e-06	0.000172
Bifidobacterium_dentium	0.000801	0.001392	0.000896	0.013286	0.000652	0.003011	0.000759	0.001657	0.014138	0.000684	0.014492	0.003708	0.002308	0.013286	0.000644	0.00133	0.002236	0.000657	0.011234	0.000668	0.001996	0.001562	0.000645	0.00144	0.000719	0.000642	0.000646	0.001614	0.001456	0.013391	0.000794
Bifidobacterium_longum	0.030188	0.042872	0.03321	0.009894	0.022806	0.049806	0.027376	0.044465	0.010639	0.02468	0.010006	0.046089	0.049039	0.009952	0.022496	0.043513	0.048779	0.02338	0.017474	0.0233	0.046969	0.044161	0.022759	0.043752	0.026102	0.022381	0.022527	0.043965	0.04347	0.009816	0.028908
