clade_name	DRR127704	DRR127594	DRR127603	DRR162777	DRR127674	DRR127774	DRR127755	DRR127762	DRR127692	DRR127763	DRR127647	DRR127751	DRR127481	DRR127776	DRR127708	DRR127619
k__Archaea	0.000758	0.000758	0.000774	0.000774	0.000758	0.000781	0.000774	0.000758	0.000758	0.000789	0.000758	0.000774	0.000758	0.000774	0.000758	0.000759
k__Archaea|p__Euryarchaeota	0.00075	0.00075	0.000782	0.000782	0.000751	0.000789	0.000782	0.00075	0.00075	0.000797	0.00075	0.000782	0.00075	0.000782	0.000751	0.000753
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.000758	0.000758	0.000774	0.000774	0.000758	0.00078	0.000774	0.000758	0.000758	0.000788	0.000758	0.000774	0.000758	0.000774	0.000758	0.000759
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.000756	0.000756	0.000776	0.000775	0.000757	0.000781	0.000775	0.000756	0.000756	0.000789	0.000756	0.000775	0.000756	0.000775	0.000757	0.000758
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.000743	0.000743	0.000792	0.000792	0.000743	0.000798	0.000792	0.000743	0.000743	0.000808	0.000743	0.000792	0.000743	0.000792	0.000743	0.000746
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.000732	0.000731	0.000781	0.000781	0.000744	0.000787	0.000781	0.000731	0.000731	0.000796	0.000731	0.000781	0.000732	0.000781	0.000745	0.000761
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.000746	0.000744	0.000767	0.000766	0.000758	0.000773	0.000766	0.000744	0.000744	0.000781	0.000744	0.000766	0.000746	0.000766	0.000758	0.000765
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	9.3e-05	9.3e-05	9.3e-05	9.3e-05	9.3e-05	9.4e-05	9.3e-05	9.3e-05	9.3e-05	9.5e-05	9.3e-05	9.3e-05	9.3e-05	9.3e-05	9.3e-05	9.3e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	9.3e-05	9.3e-05	9.3e-05	9.3e-05	9.3e-05	9.4e-05	9.3e-05	9.3e-05	9.3e-05	9.5e-05	9.3e-05	9.3e-05	9.3e-05	9.3e-05	9.3e-05	9.3e-05
k__Bacteria	0.994375	0.993727	1.004585	1.004578	1.001573	1.004235	1.004578	0.993719	0.993845	1.004672	0.993745	1.004578	0.994419	1.004578	1.000902	1.008417
k__Bacteria|p__Actinobacteria	0.035747	0.034645	0.112369	0.112359	0.042332	0.110011	0.112359	0.034616	0.034802	0.112746	0.034688	0.112359	0.035678	0.112359	0.043932	0.060505
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.022379	0.021812	0.090107	0.090095	0.025756	0.08749	0.090095	0.021798	0.021893	0.09041	0.021835	0.090095	0.022344	0.090095	0.026726	0.03794
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.000402	0.000398	0.000681	0.000681	0.000428	0.000678	0.000681	0.000398	0.000398	0.000694	0.000398	0.000681	0.000401	0.000681	0.000432	0.00049
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.000414	0.000409	0.000667	0.000666	0.000437	0.000664	0.000666	0.000409	0.00041	0.000681	0.00041	0.000666	0.000414	0.000666	0.000444	0.000488
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	8.6e-05	8.6e-05	8.6e-05	8.6e-05	8.6e-05	8.7e-05	8.6e-05	8.6e-05	8.6e-05	8.8e-05	8.6e-05	8.6e-05	8.6e-05	8.6e-05	8.6e-05	8.6e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183	8.4e-05	8.4e-05	8.8e-05	8.8e-05	8.4e-05	8.9e-05	8.8e-05	8.4e-05	8.4e-05	9e-05	8.4e-05	8.8e-05	8.4e-05	8.8e-05	8.4e-05	8.4e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.000419	0.000414	0.000655	0.000655	0.000447	0.000656	0.000655	0.000414	0.000414	0.000668	0.000414	0.000655	0.000418	0.000655	0.000456	0.00053
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis	8.9e-05	8.9e-05	8.9e-05	8.9e-05	8.9e-05	9e-05	8.9e-05	8.9e-05	8.9e-05	9.1e-05	8.9e-05	8.9e-05	8.9e-05	8.9e-05	8.9e-05	8.9e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	9.8e-05	9.8e-05	9.9e-05	9.9e-05	9.8e-05	0.0001	9.9e-05	9.8e-05	9.8e-05	0.000102	9.8e-05	9.9e-05	9.8e-05	9.9e-05	9.8e-05	9.8e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii	8.4e-05	8.4e-05	8.4e-05	8.4e-05	8.4e-05	8.5e-05	8.4e-05	8.4e-05	8.4e-05	8.6e-05	8.4e-05	8.4e-05	8.4e-05	8.4e-05	8.4e-05	8.4e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	8.2e-05	8.2e-05	8.6e-05	8.6e-05	8.2e-05	8.7e-05	8.6e-05	8.2e-05	8.2e-05	8.9e-05	8.2e-05	8.6e-05	8.2e-05	8.6e-05	8.2e-05	8.3e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0.000172	0.000171	0.000234	0.000234	0.000176	0.000235	0.000234	0.000171	0.000171	0.00024	0.000171	0.000234	0.000172	0.000234	0.000178	0.000193
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	9e-05	9e-05	9e-05	9e-05	9e-05	9.1e-05	9e-05	9e-05	9e-05	9.2e-05	9e-05	9e-05	9e-05	9e-05	9e-05	9e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	0.000129	0.000129	0.000157	0.000157	0.000131	0.000158	0.000157	0.000129	0.000129	0.000161	0.000129	0.000157	0.000129	0.000157	0.000132	0.000136
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	8.4e-05	8.4e-05	8.8e-05	8.8e-05	8.4e-05	8.9e-05	8.8e-05	8.4e-05	8.4e-05	9.1e-05	8.4e-05	8.8e-05	8.4e-05	8.8e-05	8.4e-05	8.6e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0.000215	0.000215	0.000222	0.000222	0.000219	0.000225	0.000222	0.000215	0.000215	0.000228	0.000215	0.000222	0.000215	0.000222	0.000219	0.000221
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	0.000107	0.000107	0.00011	0.00011	0.000107	0.000111	0.00011	0.000107	0.000107	0.000113	0.000107	0.00011	0.000107	0.00011	0.000107	0.000108
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_170	0.015229	0.015229	0.015235	0.015231	0.015229	0.015307	0.015231	0.015229	0.015229	0.015395	0.015229	0.015231	0.015229	0.015231	0.015229	0.015231
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180	8.3e-05	8.3e-05	8.8e-05	8.8e-05	8.4e-05	9e-05	8.8e-05	8.3e-05	8.3e-05	9.1e-05	8.3e-05	8.8e-05	8.3e-05	8.8e-05	8.4e-05	8.6e-05
