clade_name	DRR062245_y	DRR062234_y	DRR062244_x	DRR062226_x	DRR062248_x	DRR062282_x	DRR062261_y	DRR062252_y	DRR062262_x	DRR062253_y	DRR062251_y	DRR062224_y	DRR062261_x	DRR062248_y	DRR062240_x	DRR062269_x	DRR062247_y	DRR062249_y	DRR062225_x	DRR062242_x	DRR062229_y	DRR062228_x	DRR062260_y	DRR062263_x	DRR062234_x	DRR062220_x	DRR062236_y
k__Bacteria|p__Actinobacteriota	0.265456	0.322212	0.0495	0.003527	0.412885	0.034922	0.315295	0.284139	0.319177	0.241923	0.380086	0.397103	0.318306	0.423435	0.397519	0.131572	0.201768	0.30912	0.220867	0.24279	0.341663	0.303861	0.342397	0.394903	0.313815	0.436687	0.122176
k__Bacteria|p__Bacteroidota	0.163278	0.125168	0.372572	0.092283	0.082395	0.335952	0.125275	0.144045	0.119622	0.173881	0.093855	0.087336	0.125048	0.078164	0.08561	0.29705	0.21291	0.123752	0.207214	0.179316	0.115877	0.139009	0.115497	0.088898	0.125521	0.074351	0.316204
k__Bacteria|p__Firmicutes	0.525408	0.505363	0.520593	0.167735	0.468391	0.477741	0.511061	0.520395	0.512272	0.536279	0.483219	0.478899	0.508463	0.467083	0.480223	0.555635	0.557062	0.514181	0.5424	0.544177	0.500928	0.51358	0.496725	0.477163	0.510568	0.460133	0.558547
k__Bacteria|p__Proteobacteria	0.027937	0.02495	0.104546	0.692728	0.020905	0.145191	0.025588	0.027093	0.02644	0.030326	0.022523	0.021775	0.025126	0.020206	0.021699	0.043996	0.033253	0.026363	0.030214	0.030066	0.024111	0.025452	0.024024	0.021758	0.025653	0.019532	0.045166
k__Bacteria|p__Actinobacteriota|c__Actinobacteria	0.255359	0.305342	0.045038	0.003193	0.39458	0.030941	0.304066	0.274814	0.307162	0.238246	0.363729	0.38183	0.304897	0.406551	0.385585	0.122976	0.196141	0.299919	0.213172	0.234683	0.325524	0.288669	0.323549	0.378395	0.302313	0.421734	0.117004
k__Bacteria|p__Firmicutes|c__Bacilli	0.18206	0.167674	0.332153	0.15228	0.145464	0.327594	0.16773	0.174247	0.167775	0.188616	0.152021	0.149398	0.168317	0.141906	0.14864	0.250839	0.202458	0.168561	0.195319	0.190252	0.163658	0.172384	0.164043	0.149294	0.168072	0.139137	0.263916
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.166587	0.126271	0.370411	0.106254	0.082763	0.331897	0.123043	0.144754	0.11885	0.172515	0.094811	0.088129	0.125985	0.079274	0.085092	0.306247	0.220984	0.124215	0.214923	0.184663	0.116912	0.140743	0.118397	0.089334	0.127058	0.0748	0.326746
k__Bacteria|p__Firmicutes|c__Clostridia	0.325935	0.332061	0.146473	0.023053	0.335404	0.115161	0.331147	0.331141	0.33691	0.32511	0.337952	0.338611	0.329863	0.338539	0.3376	0.279401	0.325295	0.338224	0.317346	0.329381	0.332051	0.326713	0.331353	0.337678	0.334856	0.337915	0.266924
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia	0.01301	0.012584	0.008228	0.001277	0.012081	0.006173	0.012729	0.013013	0.012938	0.013139	0.012281	0.012207	0.012654	0.011868	0.012166	0.012893	0.013567	0.012812	0.013058	0.012952	0.012402	0.012536	0.012551	0.012091	0.012804	0.01163	0.012463
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.027382	0.024793	0.099878	0.716817	0.020603	0.145239	0.025383	0.026273	0.026099	0.029676	0.022331	0.021788	0.02485	0.020196	0.021878	0.042998	0.032688	0.026046	0.029261	0.030265	0.024151	0.025297	0.023646	0.021843	0.025231	0.01981	0.044573
