clade_name,DRR111028,DRR111037,DRR111061,DRR111030,DRR111013,DRR111004,DRR111036,DRR111060,DRR111042,DRR111024,DRR111006,DRR111012
k__Archaea,0.000073,0.000080,0.000074,0.000073,0.000074,0.000076,0.000073,0.000074,0.000073,0.000074,0.000082,0.000074
k__Bacteria,1.005613,1.014797,0.993242,1.004761,0.992885,1.011279,1.004782,0.998478,1.005007,0.993557,1.016068,0.996710
k__Eukaryota,0.000076,0.000083,0.000073,0.000075,0.000073,0.000080,0.000075,0.000073,0.000075,0.000073,0.000086,0.000073
k__Bacteria|p__Actinobacteriota,0.069408,0.057498,0.015051,0.071391,0.015059,0.065037,0.071343,0.014984,0.070023,0.015048,0.058632,0.015019
k__Bacteria|p__Bacteroidota,0.306282,0.325035,0.492190,0.304194,0.492083,0.313593,0.304243,0.491279,0.305372,0.492160,0.325872,0.491792
k__Bacteria|p__Campilobacterota,0.000095,0.000102,0.000091,0.000094,0.000091,0.000098,0.000094,0.000091,0.000094,0.000091,0.000105,0.000091
k__Bacteria|p__Cyanobacteria,0.000134,0.000143,0.000111,0.000134,0.000111,0.000139,0.000134,0.000111,0.000134,0.000111,0.000147,0.000111
k__Bacteria|p__Desulfobacterota,0.002609,0.002817,0.003307,0.002591,0.003314,0.002698,0.002592,0.003264,0.002599,0.003304,0.002849,0.003282
k__Archaea|p__Euryarchaeota,0.000072,0.000077,0.000076,0.000072,0.000076,0.000073,0.000072,0.000076,0.000072,0.000076,0.000078,0.000076
k__Bacteria|p__Firmicutes,0.577278,0.548314,0.386984,0.580587,0.387290,0.568637,0.580505,0.386655,0.578262,0.387090,0.552456,0.387151
k__Bacteria|p__Fusobacteriota,0.014122,0.016639,0.035686,0.013892,0.035705,0.015134,0.013897,0.035355,0.014000,0.035645,0.016708,0.035510
k__Bacteria|p__Patescibacteria,0.000194,0.000206,0.000192,0.000193,0.000192,0.000199,0.000193,0.000191,0.000194,0.000192,0.000211,0.000191
k__Bacteria|p__Proteobacteria,0.039195,0.042456,0.042360,0.038626,0.042461,0.041104,0.038640,0.041701,0.038918,0.042315,0.042618,0.041981
k__Bacteria|p__Spirochaetota,0.000084,0.000091,0.000083,0.000084,0.000083,0.000088,0.000084,0.000083,0.000084,0.000083,0.000094,0.000083
k__Bacteria|p__Synergistota,0.000551,0.000551,0.000321,0.000553,0.000322,0.000557,0.000553,0.000319,0.000551,0.000321,0.000564,0.000320
k__Bacteria|p__Verrucomicrobiota,0.003610,0.004111,0.005773,0.003567,0.005784,0.003823,0.003568,0.005701,0.003585,0.005766,0.004150,0.005730
k__Bacteria|p__Actinobacteriota|c__Actinobacteria,0.059524,0.047626,0.011717,0.061005,0.011720,0.055482,0.060970,0.011636,0.060022,0.011710,0.048693,0.011683
