clade_name,ERR1398151,ERR1398080,ERR1398101,ERR1398181,ERR1398239,ERR1398202,ERR1398231,ERR1398192,ERR1398142,ERR1398086,ERR1398075,ERR1398073,ERR1398193,ERR1398229,ERR1398238,ERR1398249,ERR1398191,ERR1398128,ERR1398112,ERR1398209,ERR1398124,ERR1398241,ERR1398204,ERR1398157,ERR1398131,ERR1398123,ERR1398178,ERR1398234,ERR1398243,ERR1398113,ERR1398090,ERR1398223,ERR1398134,ERR1398105,ERR1398072,ERR1398148,ERR1398246,ERR1398174,ERR1398228,ERR1398094
k__Archaea,0.000004,0.000005,0.000005,0.000001,0.000004,0.000001,0.000004,0.000003,0.000001,0.000004,0.000005,0.000004,0.000001,0.000001,0.000004,0.000001,0.000001,0.000004,0.000005,0.000001,0.000005,0.000004,0.000004,0.000003,0.000001,0.000004,0.000003,0.000001,0.000001,0.000004,0.000001,0.000004,0.000001,0.000005,0.000001,0.000001,0.000005,0.000005,0.000004,0.000004
k__Archaea|p__Euryarchaeota,0.000002,0.000003,0.000003,0.000000,0.000003,0.000000,0.000004,0.000002,0.000001,0.000003,0.000003,0.000004,0.000000,0.000000,0.000004,0.000000,0.000000,0.000004,0.000003,0.000001,0.000004,0.000003,0.000003,0.000004,0.000000,0.000004,0.000002,0.000000,0.000000,0.000003,0.000000,0.000004,0.000001,0.000004,0.000001,0.000001,0.000004,0.000003,0.000003,0.000003
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0.000002,0.000005,0.000004,0.000000,0.000003,0.000001,0.000006,0.000002,0.000001,0.000003,0.000004,0.000006,0.000000,0.000000,0.000006,0.000000,0.000000,0.000006,0.000004,0.000001,0.000005,0.000005,0.000006,0.000010,0.000000,0.000008,0.000002,0.000000,0.000000,0.000005,0.000000,0.000006,0.000001,0.000005,0.000001,0.000001,0.000005,0.000004,0.000003,0.000005
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0.000003,0.000005,0.000004,0.000000,0.000003,0.000001,0.000007,0.000003,0.000001,0.000003,0.000005,0.000007,0.000000,0.000000,0.000007,0.000000,0.000000,0.000007,0.000004,0.000001,0.000006,0.000005,0.000006,0.000014,0.000000,0.000009,0.000003,0.000000,0.000000,0.000005,0.000000,0.000007,0.000001,0.000006,0.000001,0.000001,0.000005,0.000004,0.000004,0.000005
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,0.000003,0.000004,0.000004,0.000000,0.000003,0.000000,0.000005,0.000002,0.000000,0.000003,0.000004,0.000005,0.000000,0.000000,0.000005,0.000000,0.000000,0.000005,0.000004,0.000000,0.000004,0.000004,0.000004,0.000007,0.000000,0.000006,0.000002,0.000000,0.000000,0.000004,0.000000,0.000005,0.000000,0.000004,0.000000,0.000000,0.000004,0.000004,0.000003,0.000004
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0.000013,0.000015,0.000015,0.000002,0.000014,0.000003,0.000013,0.000012,0.000005,0.000014,0.000016,0.000012,0.000002,0.000002,0.000013,0.000002,0.000002,0.000012,0.000016,0.000004,0.000015,0.000015,0.000013,0.000010,0.000002,0.000012,0.000012,0.000002,0.000002,0.000014,0.000002,0.000013,0.000004,0.000014,0.000005,0.000004,0.000015,0.000015,0.000015,0.000014
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,0.000001,0.000003,0.000001,0.000000,0.000001,0.000000,0.000006,0.000001,0.000000,0.000001,0.000003,0.000007,0.000000,0.000000,0.000006,0.000000,0.000000,0.000007,0.000002,0.000000,0.000004,0.000003,0.000005,0.000022,0.000000,0.000011,0.000001,0.000000,0.000000,0.000003,0.000000,0.000006,0.000000,0.000004,0.000000,0.000000,0.000003,0.000002,0.000001,0.000003
k__Bacteria,0.999204,0.997982,0.998694,0.999905,0.998969,0.999878,0.997362,0.999249,0.999777,0.999013,0.998133,0.997301,0.999901,0.999902,0.997463,0.999896,0.999905,0.997333,0.998344,0.999811,0.997736,0.998011,0.997537,0.997405,0.999898,0.997082,0.999281,0.999887,0.999908,0.997862,0.999892,0.997480,0.999795,0.997796,0.999780,0.999822,0.997941,0.998436,0.998913,0.997876
k__Bacteria|p__Actinobacteria,0.021643,0.028987,0.024021,0.012149,0.022339,0.013055,0.042307,0.021363,0.015675,0.022073,0.027589,0.046871,0.012292,0.012240,0.041858,0.012485,0.012125,0.045923,0.025582,0.014917,0.033225,0.029223,0.039611,0.107636,0.012393,0.058921,0.020953,0.012778,0.012028,0.030462,0.012609,0.042029,0.015310,0.032630,0.015597,0.014654,0.030577,0.025285,0.022396,0.030868
k__Bacteria|p__Actinobacteria|c__Actinobacteria,0.009772,0.018621,0.012020,0.006860,0.010509,0.007261,0.027727,0.009768,0.008261,0.010307,0.017117,0.031125,0.006937,0.006925,0.027593,0.007024,0.006827,0.029971,0.015252,0.007970,0.021564,0.018566,0.025961,0.087817,0.006975,0.041699,0.009661,0.007079,0.006780,0.019251,0.007064,0.027699,0.008120,0.021248,0.008252,0.007864,0.019582,0.014352,0.010631,0.019829
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0.000264,0.001143,0.000464,0.000039,0.000340,0.000048,0.002705,0.000247,0.000082,0.000327,0.000932,0.003203,0.000040,0.000040,0.002540,0.000042,0.000038,0.003107,0.000730,0.000071,0.001591,0.001134,0.002276,0.011982,0.000041,0.005034,0.000233,0.000045,0.000037,0.001338,0.000043,0.002672,0.000076,0.001495,0.000082,0.000067,0.001235,0.000664,0.000358,0.001345
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.000283,0.001062,0.000530,0.000044,0.000380,0.000054,0.002561,0.000263,0.000093,0.000363,0.000888,0.003130,0.000045,0.000045,0.002331,0.000047,0.000044,0.002985,0.000747,0.000081,0.001424,0.001054,0.002093,0.015477,0.000046,0.005143,0.000247,0.000051,0.000042,0.001199,0.000049,0.002460,0.000086,0.001329,0.000093,0.000076,0.001125,0.000681,0.000408,0.001207
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,0.000030,0.000053,0.000041,0.000008,0.000035,0.000010,0.000059,0.000029,0.000014,0.000034,0.000051,0.000058,0.000008,0.000008,0.000059,0.000009,0.000008,0.000058,0.000047,0.000013,0.000057,0.000051,0.000056,0.000062,0.000008,0.000063,0.000028,0.000009,0.000008,0.000053,0.000009,0.000058,0.000014,0.000055,0.000014,0.000012,0.000054,0.000045,0.000036,0.000053
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,0.000060,0.000102,0.000092,0.000008,0.000076,0.000011,0.000080,0.000056,0.000020,0.000073,0.000106,0.000074,0.000009,0.000009,0.000086,0.000009,0.000008,0.000074,0.000105,0.000017,0.000100,0.000101,0.000081,0.000046,0.000009,0.000069,0.000053,0.000010,0.000008,0.000097,0.000010,0.000080,0.000018,0.000098,0.000020,0.000016,0.000104,0.000100,0.000081,0.000097
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0.000248,0.001077,0.000464,0.000027,0.000331,0.000035,0.002880,0.000230,0.000065,0.000315,0.000869,0.003452,0.000028,0.000028,0.002581,0.000030,0.000027,0.003346,0.000685,0.000055,0.001516,0.001043,0.002355,0.014164,0.000029,0.005569,0.000215,0.000032,0.000026,0.001277,0.000031,0.002781,0.000060,0.001418,0.000065,0.000051,0.001145,0.000621,0.000353,0.001269
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis,0.000007,0.000022,0.000012,0.000000,0.000010,0.000001,0.000041,0.000007,0.000001,0.000009,0.000019,0.000044,0.000000,0.000000,0.000038,0.000001,0.000000,0.000044,0.000016,0.000001,0.000028,0.000021,0.000035,0.000105,0.000001,0.000063,0.000006,0.000001,0.000000,0.000024,0.000001,0.000039,0.000001,0.000027,0.000001,0.000001,0.000023,0.000015,0.000010,0.000024
