clade_name	ERR1398151	ERR1398080	ERR1398101	ERR1398181	ERR1398239	ERR1398202	ERR1398231	ERR1398192	ERR1398142	ERR1398086	ERR1398075	ERR1398073	ERR1398193	ERR1398229	ERR1398238	ERR1398249	ERR1398191	ERR1398128	ERR1398112	ERR1398209	ERR1398124	ERR1398241	ERR1398204	ERR1398157	ERR1398131	ERR1398123	ERR1398178	ERR1398234	ERR1398243	ERR1398113	ERR1398090	ERR1398223	ERR1398134	ERR1398105	ERR1398072	ERR1398148	ERR1398246	ERR1398174	ERR1398228	ERR1398094
k__Archaea	4e-06	5e-06	5e-06	1e-06	4e-06	1e-06	4e-06	3e-06	1e-06	4e-06	5e-06	4e-06	1e-06	1e-06	4e-06	1e-06	1e-06	4e-06	5e-06	1e-06	5e-06	4e-06	4e-06	3e-06	1e-06	4e-06	3e-06	1e-06	1e-06	4e-06	1e-06	4e-06	1e-06	5e-06	1e-06	1e-06	5e-06	5e-06	4e-06	4e-06
k__Archaea|p__Euryarchaeota	2e-06	3e-06	3e-06	0.0	3e-06	0.0	4e-06	2e-06	1e-06	3e-06	3e-06	4e-06	0.0	0.0	4e-06	0.0	0.0	4e-06	3e-06	1e-06	4e-06	3e-06	3e-06	4e-06	0.0	4e-06	2e-06	0.0	0.0	3e-06	0.0	4e-06	1e-06	4e-06	1e-06	1e-06	4e-06	3e-06	3e-06	3e-06
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2e-06	5e-06	4e-06	0.0	3e-06	1e-06	6e-06	2e-06	1e-06	3e-06	4e-06	6e-06	0.0	0.0	6e-06	0.0	0.0	6e-06	4e-06	1e-06	5e-06	5e-06	6e-06	1e-05	0.0	8e-06	2e-06	0.0	0.0	5e-06	0.0	6e-06	1e-06	5e-06	1e-06	1e-06	5e-06	4e-06	3e-06	5e-06
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	3e-06	5e-06	4e-06	0.0	3e-06	1e-06	7e-06	3e-06	1e-06	3e-06	5e-06	7e-06	0.0	0.0	7e-06	0.0	0.0	7e-06	4e-06	1e-06	6e-06	5e-06	6e-06	1.4e-05	0.0	9e-06	3e-06	0.0	0.0	5e-06	0.0	7e-06	1e-06	6e-06	1e-06	1e-06	5e-06	4e-06	4e-06	5e-06
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	3e-06	4e-06	4e-06	0.0	3e-06	0.0	5e-06	2e-06	0.0	3e-06	4e-06	5e-06	0.0	0.0	5e-06	0.0	0.0	5e-06	4e-06	0.0	4e-06	4e-06	4e-06	7e-06	0.0	6e-06	2e-06	0.0	0.0	4e-06	0.0	5e-06	0.0	4e-06	0.0	0.0	4e-06	4e-06	3e-06	4e-06
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	1.3e-05	1.5e-05	1.5e-05	2e-06	1.4e-05	3e-06	1.3e-05	1.2e-05	5e-06	1.4e-05	1.6e-05	1.2e-05	2e-06	2e-06	1.3e-05	2e-06	2e-06	1.2e-05	1.6e-05	4e-06	1.5e-05	1.5e-05	1.3e-05	1e-05	2e-06	1.2e-05	1.2e-05	2e-06	2e-06	1.4e-05	2e-06	1.3e-05	4e-06	1.4e-05	5e-06	4e-06	1.5e-05	1.5e-05	1.5e-05	1.4e-05
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	1e-06	3e-06	1e-06	0.0	1e-06	0.0	6e-06	1e-06	0.0	1e-06	3e-06	7e-06	0.0	0.0	6e-06	0.0	0.0	7e-06	2e-06	0.0	4e-06	3e-06	5e-06	2.2e-05	0.0	1.1e-05	1e-06	0.0	0.0	3e-06	0.0	6e-06	0.0	4e-06	0.0	0.0	3e-06	2e-06	1e-06	3e-06
k__Bacteria	0.999204	0.997982	0.998694	0.999905	0.998969	0.999878	0.997362	0.999249	0.999777	0.999013	0.998133	0.997301	0.999901	0.999902	0.997463	0.999896	0.999905	0.997333	0.998344	0.999811	0.997736	0.998011	0.997537	0.997405	0.999898	0.997082	0.999281	0.999887	0.999908	0.997862	0.999892	0.99748	0.999795	0.997796	0.99978	0.999822	0.997941	0.998436	0.998913	0.997876
k__Bacteria|p__Actinobacteria	0.021643	0.028987	0.024021	0.012149	0.022339	0.013055	0.042307	0.021363	0.015675	0.022073	0.027589	0.046871	0.012292	0.01224	0.041858	0.012485	0.012125	0.045923	0.025582	0.014917	0.033225	0.029223	0.039611	0.107636	0.012393	0.058921	0.020953	0.012778	0.012028	0.030462	0.012609	0.042029	0.01531	0.03263	0.015597	0.014654	0.030577	0.025285	0.022396	0.030868
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.009772	0.018621	0.01202	0.00686	0.010509	0.007261	0.027727	0.009768	0.008261	0.010307	0.017117	0.031125	0.006937	0.006925	0.027593	0.007024	0.006827	0.029971	0.015252	0.00797	0.021564	0.018566	0.025961	0.087817	0.006975	0.041699	0.009661	0.007079	0.00678	0.019251	0.007064	0.027699	0.00812	0.021248	0.008252	0.007864	0.019582	0.014352	0.010631	0.019829
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.000264	0.001143	0.000464	3.9e-05	0.00034	4.8e-05	0.002705	0.000247	8.2e-05	0.000327	0.000932	0.003203	4e-05	4e-05	0.00254	4.2e-05	3.8e-05	0.003107	0.00073	7.1e-05	0.001591	0.001134	0.002276	0.011982	4.1e-05	0.005034	0.000233	4.5e-05	3.7e-05	0.001338	4.3e-05	0.002672	7.6e-05	0.001495	8.2e-05	6.7e-05	0.001235	0.000664	0.000358	0.001345
