Unnamed: 0	7.0	53.0	271.0	46.0	296.0	190.0	192.0	117.0	91.0	251.0	331.0	69.0	226.0	133.0	93.0	137.0	134.0	319.0	219.0	237.0	249.0	280.0	38.0	104.0	151.0	27.0	16.0	90.0	77.0	176.0	65.0	61.0	55.0	115.0	56.0	101.0	213.0	197.0	79.0	21.0	281.0	180.0	199.0	344.0	298.0	103.0	102.0	205.0	171.0	114.0	135.0	349.0	292.0	8.0	66.0	207.0	154.0	259.0	75.0	60.0	255.0	314.0	57.0	246.0	145.0	107.0	159.0	121.0	220.0	64.0
Gardnerella.vaginalis	0.477278	0.254669	0.125594	0.299029	0.013983	0.659324	0.69818	0.546258	0.244788	0.606889	0.014026	0.460547	0.522486	0.435395	0.024281	0.74906	0.630256	0.53337	0.531598	0.063177	0.249994	0.014658	0.153492	0.01412	0.580627	0.63884	0.778756	0.430512	0.242406	0.204617	0.483786	0.303005	0.625778	0.698683	0.071157	0.609516	0.636725	0.705205	0.709672	0.504054	0.030938	0.281801	0.762209	0.015244	0.014186	0.750279	0.560836	0.201997	0.013858	0.014425	0.765086	0.014234	0.026589	0.728427	0.764048	0.490973	0.710103	0.156655	0.441972	0.648624	0.386317	0.021513	0.053853	0.015696	0.014683	0.014552	0.307559	0.014074	0.49373	0.194959
Lactobacillus.crispatus	0.00718	0.065401	0.426125	0.008367	0.949643	0.012636	0.007411	0.007171	0.054538	0.013105	0.949422	0.004268	0.013544	0.003415	0.915122	0.051113	0.008514	0.062839	0.079637	0.047207	0.012309	0.032827	0.555079	0.949154	0.003657	0.036562	0.02028	0.009414	0.012574	0.045116	0.002911	0.001914	0.038089	0.012566	0.732273	0.020032	0.004926	0.077982	0.016617	0.003378	0.011916	0.013871	0.017126	0.945563	0.949013	0.01295	0.025682	0.019743	0.95003	0.017884	0.014576	0.948836	0.104784	0.010284	0.016121	0.00344	0.011605	0.00411	0.028221	0.006471	0.002208	0.033091	0.827796	0.944124	0.947399	0.947831	0.009421	0.949343	0.079318	0.001502
Lactobacillus.jensenii	0.001899	0.550747	0.40137	0.00277	0.008772	0.013828	0.001603	0.001726	0.000798	0.001434	0.008349	0.002194	0.001446	0.002313	0.028612	0.010245	0.001632	0.284382	0.224559	0.79658	0.0026	0.903081	0.002945	0.008543	0.003137	0.010818	0.005863	0.001978	0.002764	0.000958	0.002429	0.003192	0.001233	0.001408	0.002137	0.001173	0.002202	0.007212	0.002149	0.002001	0.877604	0.002266	0.002086	0.010667	0.009061	0.002028	0.001018	0.565611	0.008514	0.916195	0.001906	0.009071	0.808974	0.001523	0.002617	0.002143	0.005781	0.015494	0.001074	0.00168	0.003919	0.882597	0.013776	0.011575	0.00987	0.009584	0.002649	0.008658	0.312755	0.002237
Megasphaera.sp..type.1	0.124107	0.019837	0.016223	0.134312	0.006372	0.052922	0.101843	0.121937	0.046494	0.078057	0.006296	0.17334	0.082779	0.192452	0.008607	0.013555	0.105629	0.021917	0.019793	0.017379	0.106824	0.011309	0.005452	0.006333	0.242096	0.0304	0.032626	0.110053	0.111462	0.053544	0.338604	0.512442	0.031316	0.067475	0.004728	0.056073	0.167127	0.010803	0.047434	0.187783	0.013852	0.099696	0.040064	0.00671	0.006426	0.054275	0.050312	0.019648	0.006323	0.010745	0.045912	0.006429	0.01528	0.073851	0.040487	0.206	0.067491	0.27498	0.056842	0.119325	0.434995	0.013286	0.007508	0.006854	0.006572	0.006522	0.124741	0.006353	0.020319	0.610313
Aerococcus.christensenii	0.022009	0.021024	0.018146	0.014063	0.004157	0.049829	0.046351	0.027034	0.112794	0.053554	0.004228	0.015884	0.042033	0.01309	0.006	0.090938	0.04027	0.036382	0.041271	0.008595	0.015712	0.00334	0.069827	0.004232	0.03187	0.073062	0.07938	0.022639	0.015486	0.066837	0.024266	0.01776	0.194476	0.071573	0.04788	0.095217	0.031646	0.10701	0.07524	0.015833	0.003682	0.020121	0.086715	0.004391	0.004194	0.070336	0.122116	0.010847	0.004141	0.002821	0.081442	0.004211	0.005902	0.064893	0.073915	0.016001	0.052933	0.01109	0.091578	0.035242	0.022373	0.004225	0.014333	0.004458	0.004282	0.004263	0.015609	0.004204	0.036007	0.011913
Atopobium.vaginae	0.049004	0.000707	0.001226	0.038008	0.001391	0.006934	0.054902	0.053746	0.321241	0.095752	0.001421	0.029269	0.098876	0.023417	0.001343	0.007596	0.062748	0.001154	0.001523	0.00029	0.056197	8.3e-05	0.010944	0.001415	0.02125	0.01516	0.015401	0.057812	0.053953	0.266745	0.018917	0.009748	0.14715	0.089172	0.009282	0.144383	0.032631	0.010211	0.053751	0.026626	6.2e-05	0.070419	0.046157	0.001377	0.001388	0.04711	0.189093	0.000226	0.001397	5.1e-05	0.050186	0.001391	0.000292	0.067738	0.033321	0.02511	0.015971	0.001661	0.203002	0.04942	0.012288	0.000114	0.002703	0.001365	0.001379	0.001385	0.043705	0.001405	0.001216	0.006823
BVAB1	0.22702	0.004139	0.003387	0.468383	0.001194	0.006195	0.045673	0.157527	0.069196	0.06831	0.001172	0.26245	0.119446	0.292414	0.001521	0.00086	0.079913	0.001696	0.001715	0.009878	0.502309	0.010844	0.000487	0.00118	0.073194	0.005247	0.003225	0.265456	0.518867	0.141911	0.116372	0.143797	0.007314	0.030448	0.000441	0.032252	0.077074	0.000729	0.013639	0.217643	0.006538	0.410149	0.007494	0.001247	0.001202	0.012587	0.027739	0.002651	0.001185	0.008196	0.009349	0.001202	0.015914	0.026084	0.007071	0.219615	0.010622	0.042122	0.058659	0.076438	0.121081	0.011627	0.001006	0.001272	0.001226	0.001217	0.445911	0.001186	0.001881	0.186733
Dialister.propionicifaciens	0.003615	0.00071	0.001304	0.002907	0.000682	0.001653	0.004747	0.004039	0.015341	0.007328	0.000683	0.002257	0.00697	0.001781	0.000888	0.002051	0.005175	0.001023	0.001213	0.000305	0.00381	8.4e-05	0.002086	0.000685	0.002295	0.003392	0.002896	0.004203	0.003783	0.011638	0.001857	0.001022	0.012814	0.007355	0.00167	0.010626	0.003114	0.002534	0.005604	0.001996	6.5e-05	0.004694	0.005204	0.00071	0.000686	0.004923	0.01297	0.000212	0.000678	5.3e-05	0.005269	0.000687	0.000293	0.005928	0.004146	0.001986	0.002659	0.000351	0.012349	0.004104	0.001349	0.000116	0.001175	0.00072	0.000697	0.000694	0.003288	0.000684	0.001109	0.000624
Lactobacillus.coleohominis	0.018355	0.041465	0.024478	0.015941	0.002454	0.060089	0.023819	0.020147	0.004747	0.012941	0.002396	0.030207	0.011493	0.034685	0.00494	0.011425	0.020442	0.055986	0.044295	0.028599	0.010408	0.015224	0.002186	0.002428	0.115948	0.019754	0.022099	0.014454	0.011097	0.004728	0.161801	0.416371	0.00697	0.01395	0.001625	0.009518	0.048025	0.007004	0.013239	0.036676	0.025595	0.010002	0.012895	0.002754	0.002501	0.01643	0.007949	0.052381	0.002412	0.016143	0.013964	0.002505	0.019464	0.017397	0.014962	0.043602	0.04193	0.450829	0.007423	0.025433	0.327706	0.018457	0.004017	0.002885	0.002629	0.002586	0.014582	0.002442	0.048433	0.526064
